Lower Elevation Range (m),Upper Elevation Range(m),Total Area (m2),Total Volume (m3),Number of Cells
-3.000,-2.950,0.000,0.000,0
-2.950,-2.900,0.000,0.000,0
-2.900,-2.850,0.000,0.000,0
-2.850,-2.800,0.000,0.000,0
-2.800,-2.750,0.000,0.000,0
-2.750,-2.700,0.000,0.000,0
-2.700,-2.650,0.000,0.000,0
-2.650,-2.600,0.000,0.000,0
-2.600,-2.550,0.000,0.000,0
-2.550,-2.500,0.000,0.000,0
-2.500,-2.450,0.000,0.000,0
-2.450,-2.400,0.000,0.000,0
-2.400,-2.350,0.000,0.000,0
-2.350,-2.300,0.000,0.000,0
-2.300,-2.250,0.000,0.000,0
-2.250,-2.200,0.000,0.000,0
-2.200,-2.150,0.000,0.000,0
-2.150,-2.100,0.000,0.000,0
-2.100,-2.050,0.000,0.000,0
-2.050,-2.000,0.000,0.000,0
-2.000,-1.950,0.500,0.979,2
-1.950,-1.900,0.250,0.479,1
-1.900,-1.850,0.000,0.000,0
-1.850,-1.800,0.000,0.000,0
-1.800,-1.750,0.000,0.000,0
-1.750,-1.700,0.250,0.436,1
-1.700,-1.650,1.500,2.499,6
-1.650,-1.600,1.000,1.617,4
-1.600,-1.550,2.500,3.933,10
-1.550,-1.500,7.000,10.648,28
-1.500,-1.450,6.500,9.561,26
-1.450,-1.400,22.000,31.238,88
-1.400,-1.350,38.500,52.899,154
-1.350,-1.300,60.000,79.467,240
-1.300,-1.250,52.750,67.200,211
-1.250,-1.200,59.000,72.268,236
-1.200,-1.150,55.500,65.245,222
-1.150,-1.100,55.500,62.471,222
-1.100,-1.050,67.500,72.504,270
-1.050,-1.000,80.250,82.174,321
-1.000,-0.950,145.250,141.366,581
-0.950,-0.900,238.250,219.897,953
-0.900,-0.850,381.250,333.031,1525
-0.850,-0.800,506.750,417.136,2027
-0.800,-0.750,775.000,599.323,3100
-0.750,-0.700,1248.250,903.067,4993
-0.700,-0.650,1630.250,1098.453,6521
-0.650,-0.600,2269.000,1415.395,9076
-0.600,-0.550,2794.250,1604.869,11177
-0.550,-0.500,3322.500,1741.071,13290
-0.500,-0.450,4137.750,1963.303,16551
-0.450,-0.400,5090.750,2158.499,20363
-0.400,-0.350,6451.750,2411.681,25807
-0.350,-0.300,8439.250,2734.460,33757
-0.300,-0.250,10222.250,2804.066,40889
-0.250,-0.200,12725.750,2852.171,50903
-0.200,-0.150,13798.000,2412.807,55192
-0.150,-0.100,14207.000,1805.968,56828
-0.100,-0.050,957.750,91.440,3831
-0.050,-0.000,0.000,0.000,0
-0.000,0.050,0.000,0.000,0
0.050,0.100,1100.000,104.404,4400
0.100,0.150,15374.750,1967.541,61499
0.150,0.200,14966.000,2594.772,59864
0.200,0.250,11141.250,2500.249,44565
0.250,0.300,8659.500,2371.381,34638
0.300,0.350,7136.500,2312.990,28546
0.350,0.400,5953.250,2228.115,23813
0.400,0.450,4934.250,2094.970,19737
0.450,0.500,4312.500,2045.836,17250
0.500,0.550,3598.250,1885.090,14393
0.550,0.600,3094.250,1777.981,12377
0.600,0.650,2565.250,1601.135,10261
0.650,0.700,2047.250,1379.438,8189
0.700,0.750,1565.000,1133.447,6260
0.750,0.800,1314.000,1017.599,5256
0.800,0.850,1089.000,897.353,4356
0.850,0.900,904.250,790.143,3617
0.900,0.950,704.000,650.179,2816
0.950,1.000,511.750,497.947,2047
1.000,1.050,392.500,401.974,1570
1.050,1.100,297.750,319.716,1191
1.100,1.150,188.250,211.453,753
1.150,1.200,131.250,153.695,525
1.200,1.250,63.750,77.915,255
1.250,1.300,35.500,45.197,142
1.300,1.350,22.500,29.790,90
1.350,1.400,16.750,22.953,67
1.400,1.450,13.250,18.874,53
1.450,1.500,6.000,8.822,24
1.500,1.550,5.000,7.619,20
1.550,1.600,2.750,4.335,11
1.600,1.650,2.750,4.487,11
1.650,1.700,2.500,4.185,10
1.700,1.750,0.250,0.431,1
1.750,1.800,0.250,0.438,1
1.800,1.850,1.250,2.285,5
1.850,1.900,0.500,0.942,2
1.900,1.950,0.750,1.444,3
1.950,2.000,0.750,1.484,3
2.000,2.050,0.000,0.000,0
2.050,2.100,0.250,0.517,1
2.100,2.150,0.000,0.000,0
2.150,2.200,0.000,0.000,0
2.200,2.250,0.000,0.000,0
2.250,2.300,0.250,0.566,1
2.300,2.350,0.000,0.000,0
2.350,2.400,0.000,0.000,0
2.400,2.450,0.250,0.600,1
2.450,2.500,0.000,0.000,0
2.500,2.550,0.000,0.000,0
2.550,2.600,0.250,0.638,1
2.600,2.650,0.000,0.000,0
2.650,2.700,0.000,0.000,0
2.700,2.750,0.000,0.000,0
2.750,2.800,0.000,0.000,0
2.800,2.850,0.000,0.000,0
2.850,2.900,0.000,0.000,0
2.900,2.950,0.000,0.000,0
2.950,3.000,0.000,0.000,0
