Lower Elevation Range (m),Upper Elevation Range(m),Total Area (m2),Total Volume (m3),Number of Cells
-4.000,-3.900,0.000,0.000,0
-3.900,-3.800,0.000,0.000,0
-3.800,-3.700,0.000,0.000,0
-3.700,-3.600,0.000,0.000,0
-3.600,-3.500,0.000,0.000,0
-3.500,-3.400,0.000,0.000,0
-3.400,-3.300,0.000,0.000,0
-3.300,-3.200,0.000,0.000,0
-3.200,-3.100,0.500,1.599,2
-3.100,-3.000,1.500,4.551,6
-3.000,-2.900,0.250,0.726,1
-2.900,-2.800,0.750,2.153,3
-2.800,-2.700,1.750,4.770,7
-2.700,-2.600,1.750,4.651,7
-2.600,-2.500,3.750,9.509,15
-2.500,-2.400,6.750,16.441,27
-2.400,-2.300,12.250,28.833,49
-2.300,-2.200,13.000,29.166,52
-2.200,-2.100,25.250,54.172,101
-2.100,-2.000,37.500,76.911,150
-2.000,-1.900,56.000,108.986,224
-1.900,-1.800,79.250,146.333,317
-1.800,-1.700,135.500,236.009,542
-1.700,-1.600,367.000,603.691,1468
-1.600,-1.500,717.250,1108.194,2869
-1.500,-1.400,1270.000,1833.614,5080
-1.400,-1.300,1985.250,2675.975,7941
-1.300,-1.200,1838.500,2303.352,7354
-1.200,-1.100,1958.000,2244.323,7832
-1.100,-1.000,2992.500,3135.465,11970
-1.000,-0.900,5234.750,4944.049,20939
-0.900,-0.800,8994.750,7607.743,35979
-0.800,-0.700,13335.500,9966.229,53342
-0.700,-0.600,19273.750,12488.842,77095
-0.600,-0.500,23523.000,12906.745,94092
-0.500,-0.400,28516.500,12788.337,114066
-0.400,-0.300,35018.000,12209.157,140072
-0.300,-0.200,43194.250,10749.367,172777
-0.200,-0.100,10270.000,1891.658,41080
-0.100,0.000,0.000,0.000,0
0.000,0.100,75078.250,4459.563,300313
0.100,0.200,59385.000,8595.817,237540
0.200,0.300,33097.500,8119.347,132390
0.300,0.400,19390.000,6709.026,77560
0.400,0.500,11099.500,4939.897,44398
0.500,0.600,6524.000,3557.970,26096
0.600,0.700,2933.000,1882.694,11732
0.700,0.800,1239.750,922.498,4959
0.800,0.900,547.250,459.905,2189
0.900,1.000,167.250,157.344,669
1.000,1.100,74.250,77.373,297
1.100,1.200,30.750,35.211,123
1.200,1.300,22.000,27.566,88
1.300,1.400,16.250,21.952,65
1.400,1.500,10.500,15.148,42
1.500,1.600,8.000,12.359,32
1.600,1.700,8.000,13.199,32
1.700,1.800,6.000,10.473,24
1.800,1.900,4.000,7.384,16
1.900,2.000,6.250,12.157,25
2.000,2.100,3.500,7.188,14
2.100,2.200,4.750,10.216,19
2.200,2.300,4.000,9.026,16
2.300,2.400,2.750,6.458,11
2.400,2.500,3.000,7.314,12
2.500,2.600,2.750,6.992,11
2.600,2.700,2.250,5.957,9
2.700,2.800,2.500,6.877,10
2.800,2.900,2.000,5.696,8
2.900,3.000,2.250,6.631,9
3.000,3.100,1.250,3.797,5
3.100,3.200,0.250,0.776,1
3.200,3.300,0.000,0.000,0
3.300,3.400,0.000,0.000,0
3.400,3.500,0.000,0.000,0
3.500,3.600,0.000,0.000,0
3.600,3.700,0.000,0.000,0
3.700,3.800,0.000,0.000,0
3.800,3.900,0.000,0.000,0
3.900,4.000,0.000,0.000,0
