Lower Elevation Range (m),Upper Elevation Range(m),Total Area (m2),Total Volume (m3),Number of Cells
-4.000,-3.900,0.000,0.000,0
-3.900,-3.800,0.000,0.000,0
-3.800,-3.700,0.000,0.000,0
-3.700,-3.600,0.000,0.000,0
-3.600,-3.500,0.000,0.000,0
-3.500,-3.400,0.000,0.000,0
-3.400,-3.300,0.000,0.000,0
-3.300,-3.200,0.000,0.000,0
-3.200,-3.100,0.000,0.000,0
-3.100,-3.000,0.500,1.540,2
-3.000,-2.900,1.000,2.918,4
-2.900,-2.800,0.500,1.438,2
-2.800,-2.700,1.000,2.750,4
-2.700,-2.600,1.250,3.273,5
-2.600,-2.500,1.500,3.821,6
-2.500,-2.400,2.500,6.096,10
-2.400,-2.300,3.750,8.798,15
-2.300,-2.200,9.000,20.160,36
-2.200,-2.100,11.500,24.735,46
-2.100,-2.000,15.250,31.103,61
-2.000,-1.900,29.000,56.498,116
-1.900,-1.800,36.250,67.050,145
-1.800,-1.700,59.750,104.410,239
-1.700,-1.600,76.500,125.826,306
-1.600,-1.500,233.250,359.292,933
-1.500,-1.400,502.750,726.566,2011
-1.400,-1.300,956.500,1287.122,3826
-1.300,-1.200,1759.500,2193.667,7038
-1.200,-1.100,2045.000,2354.013,8180
-1.100,-1.000,1731.500,1815.216,6926
-1.000,-0.900,2638.250,2495.188,10553
-0.900,-0.800,4189.750,3538.579,16759
-0.800,-0.700,7521.000,5610.922,30084
-0.700,-0.600,12070.250,7810.140,48281
-0.600,-0.500,17718.500,9682.347,70874
-0.500,-0.400,23615.500,10570.818,94462
-0.400,-0.300,30521.250,10599.325,122085
-0.300,-0.200,45478.000,11213.760,181912
-0.200,-0.100,74173.500,10743.314,296694
-0.100,0.000,246961.000,9000.752,987844
0.000,0.100,464262.500,13293.691,1857050
0.100,0.200,108320.250,15624.982,433281
0.200,0.300,57286.250,14020.172,229145
0.300,0.400,31585.000,10905.517,126340
0.400,0.500,19447.250,8686.509,77789
0.500,0.600,12439.500,6782.698,49758
0.600,0.700,7478.500,4830.526,29914
0.700,0.800,4062.500,3017.344,16250
0.800,0.900,1697.000,1431.728,6788
0.900,1.000,795.500,749.819,3182
1.000,1.100,265.250,276.098,1061
1.100,1.200,101.000,115.679,404
1.200,1.300,47.250,58.761,189
1.300,1.400,27.250,36.734,109
1.400,1.500,22.000,31.856,88
1.500,1.600,14.750,22.782,59
1.600,1.700,10.500,17.317,42
1.700,1.800,5.500,9.624,22
1.800,1.900,7.250,13.493,29
1.900,2.000,6.500,12.670,26
2.000,2.100,6.000,12.365,24
2.100,2.200,4.500,9.688,18
2.200,2.300,4.000,9.055,16
2.300,2.400,3.000,7.097,12
2.400,2.500,3.750,9.144,15
2.500,2.600,2.500,6.382,10
2.600,2.700,2.250,5.969,9
2.700,2.800,4.250,11.702,17
2.800,2.900,2.750,7.815,11
2.900,3.000,3.250,9.625,13
3.000,3.100,2.250,6.857,9
3.100,3.200,3.250,10.253,13
3.200,3.300,2.750,8.938,11
3.300,3.400,2.250,7.508,9
3.400,3.500,0.250,0.851,1
3.500,3.600,0.000,0.000,0
3.600,3.700,0.000,0.000,0
3.700,3.800,0.000,0.000,0
3.800,3.900,0.000,0.000,0
3.900,4.000,0.000,0.000,0
