Lower Elevation Range (m),Upper Elevation Range(m),Total Area (m2),Total Volume (m3),Number of Cells
-3.000,-2.900,0.000,0.000,0
-2.900,-2.800,0.000,0.000,0
-2.800,-2.700,0.000,0.000,0
-2.700,-2.600,0.000,0.000,0
-2.600,-2.500,0.000,0.000,0
-2.500,-2.400,0.000,0.000,0
-2.400,-2.300,0.500,1.168,2
-2.300,-2.200,0.500,1.131,2
-2.200,-2.100,0.250,0.538,1
-2.100,-2.000,2.250,4.599,9
-2.000,-1.900,5.500,10.750,22
-1.900,-1.800,7.250,13.401,29
-1.800,-1.700,13.000,22.769,52
-1.700,-1.600,11.500,19.062,46
-1.600,-1.500,19.500,30.230,78
-1.500,-1.400,22.250,32.142,89
-1.400,-1.300,25.000,33.747,100
-1.300,-1.200,52.250,65.108,209
-1.200,-1.100,127.000,145.217,508
-1.100,-1.000,318.000,330.276,1272
-1.000,-0.900,714.250,678.596,2857
-0.900,-0.800,854.500,722.421,3418
-0.800,-0.700,1488.250,1105.834,5953
-0.700,-0.600,3760.250,2427.265,15041
-0.600,-0.500,5479.000,2988.532,21916
-0.500,-0.400,8694.500,3896.391,34778
-0.400,-0.300,7418.750,2590.954,29675
-0.300,-0.200,12030.500,2940.487,48122
-0.200,-0.100,4557.000,842.287,18228
-0.100,0.000,0.000,0.000,0
0.000,0.100,18584.250,1082.551,74337
0.100,0.200,12922.750,1861.868,51691
0.200,0.300,5705.500,1388.331,22822
0.300,0.400,2202.250,755.345,8809
0.400,0.500,1155.250,515.562,4621
0.500,0.600,478.500,258.031,1914
0.600,0.700,182.000,117.609,728
0.700,0.800,96.750,71.969,387
0.800,0.900,47.250,40.064,189
0.900,1.000,31.000,29.461,124
1.000,1.100,18.500,19.299,74
1.100,1.200,15.000,17.260,60
1.200,1.300,6.000,7.472,24
1.300,1.400,3.500,4.689,14
1.400,1.500,4.250,6.142,17
1.500,1.600,1.500,2.330,6
1.600,1.700,2.250,3.707,9
1.700,1.800,1.250,2.183,5
1.800,1.900,1.500,2.755,6
1.900,2.000,1.000,1.925,4
2.000,2.100,1.000,2.043,4
2.100,2.200,0.750,1.588,3
2.200,2.300,0.750,1.696,3
2.300,2.400,0.500,1.168,2
2.400,2.500,1.000,2.456,4
2.500,2.600,0.000,0.000,0
2.600,2.700,0.500,1.316,2
2.700,2.800,0.250,0.684,1
2.800,2.900,0.500,1.439,2
2.900,3.000,0.000,0.000,0
