Lower Elevation Range (m),Upper Elevation Range(m),Total Area (m2),Total Volume (m3),Number of Cells
-4.000,-3.900,0.000,0.000,0
-3.900,-3.800,0.000,0.000,0
-3.800,-3.700,0.000,0.000,0
-3.700,-3.600,0.000,0.000,0
-3.600,-3.500,0.000,0.000,0
-3.500,-3.400,0.000,0.000,0
-3.400,-3.300,0.000,0.000,0
-3.300,-3.200,0.000,0.000,0
-3.200,-3.100,0.000,0.000,0
-3.100,-3.000,0.000,0.000,0
-3.000,-2.900,0.000,0.000,0
-2.900,-2.800,0.000,0.000,0
-2.800,-2.700,0.000,0.000,0
-2.700,-2.600,0.000,0.000,0
-2.600,-2.500,0.000,0.000,0
-2.500,-2.400,0.000,0.000,0
-2.400,-2.300,0.000,0.000,0
-2.300,-2.200,0.000,0.000,0
-2.200,-2.100,0.500,1.097,2
-2.100,-2.000,0.000,0.000,0
-2.000,-1.900,0.000,0.000,0
-1.900,-1.800,1.750,3.198,7
-1.800,-1.700,4.250,7.409,17
-1.700,-1.600,6.250,10.306,25
-1.600,-1.500,13.500,20.835,54
-1.500,-1.400,14.500,21.037,58
-1.400,-1.300,17.000,22.969,68
-1.300,-1.200,24.000,29.934,96
-1.200,-1.100,34.750,39.711,139
-1.100,-1.000,67.250,70.223,269
-1.000,-0.900,187.250,176.875,749
-0.900,-0.800,585.500,493.690,2342
-0.800,-0.700,697.500,522.954,2790
-0.700,-0.600,1102.750,710.709,4411
-0.600,-0.500,2440.750,1325.128,9763
-0.500,-0.400,4644.500,2070.682,18578
-0.400,-0.300,7693.500,2659.376,30774
-0.300,-0.200,13732.500,3365.823,54930
-0.200,-0.100,36961.500,5119.361,147846
-0.100,0.000,339320.250,8725.091,1357281
0.000,0.100,708887.500,10690.583,2835550
0.100,0.200,31372.000,4403.514,125488
0.200,0.300,14759.250,3642.913,59037
0.300,0.400,7731.000,2649.941,30924
0.400,0.500,3027.250,1336.571,12109
0.500,0.600,1405.250,767.293,5621
0.600,0.700,744.000,476.077,2976
0.700,0.800,214.250,159.404,857
0.800,0.900,132.500,112.195,530
0.900,1.000,64.250,60.764,257
1.000,1.100,40.000,42.064,160
1.100,1.200,23.500,26.915,94
1.200,1.300,19.250,23.911,77
1.300,1.400,9.750,13.042,39
1.400,1.500,5.750,8.354,23
1.500,1.600,5.500,8.515,22
1.600,1.700,1.500,2.462,6
1.700,1.800,3.250,5.669,13
1.800,1.900,2.250,4.158,9
1.900,2.000,1.250,2.458,5
2.000,2.100,1.000,2.032,4
2.100,2.200,1.000,2.163,4
2.200,2.300,0.750,1.669,3
2.300,2.400,0.750,1.762,3
2.400,2.500,0.500,1.213,2
2.500,2.600,0.750,1.928,3
2.600,2.700,0.250,0.657,1
2.700,2.800,0.500,1.365,2
2.800,2.900,0.250,0.715,1
2.900,3.000,0.250,0.747,1
3.000,3.100,0.250,0.760,1
3.100,3.200,0.000,0.000,0
3.200,3.300,0.000,0.000,0
3.300,3.400,0.000,0.000,0
3.400,3.500,0.000,0.000,0
3.500,3.600,0.000,0.000,0
3.600,3.700,0.000,0.000,0
3.700,3.800,0.000,0.000,0
3.800,3.900,0.000,0.000,0
3.900,4.000,0.000,0.000,0
