Lower Elevation Range (m),Upper Elevation Range(m),Total Area (m2),Total Volume (m3),Number of Cells
-4.000,-3.900,0.000,0.000,0
-3.900,-3.800,0.000,0.000,0
-3.800,-3.700,0.000,0.000,0
-3.700,-3.600,0.000,0.000,0
-3.600,-3.500,0.000,0.000,0
-3.500,-3.400,0.000,0.000,0
-3.400,-3.300,0.000,0.000,0
-3.300,-3.200,0.000,0.000,0
-3.200,-3.100,0.000,0.000,0
-3.100,-3.000,0.000,0.000,0
-3.000,-2.900,0.000,0.000,0
-2.900,-2.800,0.000,0.000,0
-2.800,-2.700,0.000,0.000,0
-2.700,-2.600,0.000,0.000,0
-2.600,-2.500,0.000,0.000,0
-2.500,-2.400,0.000,0.000,0
-2.400,-2.300,0.000,0.000,0
-2.300,-2.200,0.000,0.000,0
-2.200,-2.100,0.500,1.097,2
-2.100,-2.000,0.000,0.000,0
-2.000,-1.900,0.000,0.000,0
-1.900,-1.800,1.750,3.198,7
-1.800,-1.700,4.250,7.409,17
-1.700,-1.600,6.250,10.306,25
-1.600,-1.500,13.500,20.835,54
-1.500,-1.400,14.500,21.037,58
-1.400,-1.300,17.000,22.969,68
-1.300,-1.200,23.750,29.625,95
-1.200,-1.100,34.750,39.711,139
-1.100,-1.000,67.250,70.223,269
-1.000,-0.900,187.250,176.875,749
-0.900,-0.800,585.000,493.274,2340
-0.800,-0.700,696.500,522.197,2786
-0.700,-0.600,1101.750,710.056,4407
-0.600,-0.500,2435.750,1322.451,9743
-0.500,-0.400,4625.000,2062.106,18500
-0.400,-0.300,7574.500,2619.301,30298
-0.300,-0.200,11522.750,2873.396,46091
-0.200,-0.100,15977.500,2315.363,63910
-0.100,0.000,712.250,68.136,2849
0.000,0.100,688.250,65.728,2753
0.100,0.200,14496.500,2128.901,57986
0.200,0.300,13016.500,3245.255,52066
0.300,0.400,7587.000,2601.734,30348
0.400,0.500,3007.500,1327.963,12030
0.500,0.600,1399.500,764.215,5598
0.600,0.700,742.500,475.130,2970
0.700,0.800,213.250,158.645,853
0.800,0.900,132.250,111.984,529
0.900,1.000,64.000,60.536,256
1.000,1.100,40.000,42.064,160
1.100,1.200,23.500,26.915,94
1.200,1.300,19.250,23.911,77
1.300,1.400,9.750,13.042,39
1.400,1.500,5.750,8.354,23
1.500,1.600,5.500,8.515,22
1.600,1.700,1.500,2.462,6
1.700,1.800,3.250,5.669,13
1.800,1.900,2.250,4.158,9
1.900,2.000,1.250,2.458,5
2.000,2.100,1.000,2.032,4
2.100,2.200,1.000,2.163,4
2.200,2.300,0.750,1.669,3
2.300,2.400,0.750,1.762,3
2.400,2.500,0.500,1.213,2
2.500,2.600,0.750,1.928,3
2.600,2.700,0.250,0.657,1
2.700,2.800,0.500,1.365,2
2.800,2.900,0.250,0.715,1
2.900,3.000,0.250,0.747,1
3.000,3.100,0.250,0.760,1
3.100,3.200,0.000,0.000,0
3.200,3.300,0.000,0.000,0
3.300,3.400,0.000,0.000,0
3.400,3.500,0.000,0.000,0
3.500,3.600,0.000,0.000,0
3.600,3.700,0.000,0.000,0
3.700,3.800,0.000,0.000,0
3.800,3.900,0.000,0.000,0
3.900,4.000,0.000,0.000,0
