Lower Elevation Range (m),Upper Elevation Range(m),Total Area (m2),Total Volume (m3),Number of Cells
-4.000,-3.900,0.000,0.000,0
-3.900,-3.800,0.000,0.000,0
-3.800,-3.700,0.000,0.000,0
-3.700,-3.600,0.000,0.000,0
-3.600,-3.500,0.000,0.000,0
-3.500,-3.400,0.000,0.000,0
-3.400,-3.300,0.000,0.000,0
-3.300,-3.200,0.000,0.000,0
-3.200,-3.100,0.000,0.000,0
-3.100,-3.000,0.250,0.755,1
-3.000,-2.900,0.000,0.000,0
-2.900,-2.800,0.500,1.431,2
-2.800,-2.700,1.000,2.733,4
-2.700,-2.600,2.500,6.598,10
-2.600,-2.500,0.750,1.904,3
-2.500,-2.400,2.250,5.518,9
-2.400,-2.300,1.750,4.111,7
-2.300,-2.200,1.500,3.358,6
-2.200,-2.100,3.750,8.032,15
-2.100,-2.000,4.750,9.768,19
-2.000,-1.900,4.000,7.796,16
-1.900,-1.800,5.500,10.215,22
-1.800,-1.700,8.000,14.032,32
-1.700,-1.600,10.750,17.698,43
-1.600,-1.500,17.750,27.336,71
-1.500,-1.400,70.000,101.021,280
-1.400,-1.300,147.750,199.006,591
-1.300,-1.200,189.750,236.748,759
-1.200,-1.100,262.250,300.483,1049
-1.100,-1.000,473.750,494.432,1895
-1.000,-0.900,704.500,667.661,2818
-0.900,-0.800,1289.750,1088.398,5159
-0.800,-0.700,2469.000,1841.097,9876
-0.700,-0.600,4020.750,2598.419,16083
-0.600,-0.500,6063.500,3312.824,24254
-0.500,-0.400,9250.500,4122.804,37002
-0.400,-0.300,15236.750,5275.167,60947
-0.300,-0.200,27050.250,6599.113,108201
-0.200,-0.100,63698.750,9031.946,254795
-0.100,0.000,347588.250,10769.896,1390353
0.000,0.100,547963.000,13397.802,2191852
0.100,0.200,75727.750,10742.300,302911
0.200,0.300,31472.750,7683.308,125891
0.300,0.400,17361.250,6005.395,69445
0.400,0.500,10749.000,4799.660,42996
0.500,0.600,6759.000,3678.710,27036
0.600,0.700,3837.500,2480.120,15350
0.700,0.800,2467.250,1839.923,9869
0.800,0.900,1390.500,1172.571,5562
0.900,1.000,475.500,446.396,1902
1.000,1.100,272.250,285.883,1089
1.100,1.200,250.250,287.093,1001
1.200,1.300,153.250,190.269,613
1.300,1.400,76.750,103.602,307
1.400,1.500,59.750,86.288,239
1.500,1.600,30.250,46.750,121
1.600,1.700,19.000,31.391,76
1.700,1.800,14.000,24.439,56
1.800,1.900,11.000,20.338,44
1.900,2.000,11.000,21.435,44
2.000,2.100,7.250,14.865,29
2.100,2.200,3.250,6.953,13
2.200,2.300,1.250,2.807,5
2.300,2.400,0.250,0.582,1
2.400,2.500,0.250,0.624,1
2.500,2.600,0.250,0.638,1
2.600,2.700,0.000,0.000,0
2.700,2.800,0.000,0.000,0
2.800,2.900,0.000,0.000,0
2.900,3.000,0.000,0.000,0
3.000,3.100,0.000,0.000,0
3.100,3.200,0.000,0.000,0
3.200,3.300,0.000,0.000,0
3.300,3.400,0.000,0.000,0
3.400,3.500,0.000,0.000,0
3.500,3.600,0.000,0.000,0
3.600,3.700,0.000,0.000,0
3.700,3.800,0.000,0.000,0
3.800,3.900,0.000,0.000,0
3.900,4.000,0.000,0.000,0
