Lower Elevation Range (m),Upper Elevation Range(m),Total Area (m2),Total Volume (m3),Number of Cells
-4.000,-3.900,0.000,0.000,0
-3.900,-3.800,0.250,0.953,1
-3.800,-3.700,0.000,0.000,0
-3.700,-3.600,0.000,0.000,0
-3.600,-3.500,0.750,2.649,3
-3.500,-3.400,0.750,2.581,3
-3.400,-3.300,1.250,4.177,5
-3.300,-3.200,1.250,4.053,5
-3.200,-3.100,0.750,2.357,3
-3.100,-3.000,2.250,6.842,9
-3.000,-2.900,1.500,4.407,6
-2.900,-2.800,0.500,1.435,2
-2.800,-2.700,2.250,6.218,9
-2.700,-2.600,3.250,8.644,13
-2.600,-2.500,4.250,10.827,17
-2.500,-2.400,2.500,6.123,10
-2.400,-2.300,2.000,4.713,8
-2.300,-2.200,4.500,10.128,18
-2.200,-2.100,5.000,10.731,20
-2.100,-2.000,8.000,16.429,32
-2.000,-1.900,10.000,19.534,40
-1.900,-1.800,8.250,15.277,33
-1.800,-1.700,15.000,26.134,60
-1.700,-1.600,44.250,72.403,177
-1.600,-1.500,108.750,167.649,435
-1.500,-1.400,169.250,244.899,677
-1.400,-1.300,206.000,277.727,824
-1.300,-1.200,323.000,402.979,1292
-1.200,-1.100,584.250,671.226,2337
-1.100,-1.000,775.250,811.130,3101
-1.000,-0.900,1623.500,1531.583,6494
-0.900,-0.800,2902.500,2457.294,11610
-0.800,-0.700,4562.500,3407.204,18250
-0.700,-0.600,6754.250,4372.896,27017
-0.600,-0.500,9897.000,5412.260,39588
-0.500,-0.400,14989.250,6691.547,59957
-0.400,-0.300,25701.000,8844.962,102804
-0.300,-0.200,47681.500,11676.169,190726
-0.200,-0.100,102533.750,14556.543,410135
-0.100,0.000,163864.250,7351.560,655457
0.000,0.100,76883.500,3212.829,307534
0.100,0.200,32245.250,4634.545,128981
0.200,0.300,16989.000,4175.348,67956
0.300,0.400,9670.000,3344.078,38680
0.400,0.500,5510.250,2449.744,22041
0.500,0.600,3167.250,1731.605,12669
0.600,0.700,1896.000,1226.346,7584
0.700,0.800,907.000,670.678,3628
0.800,0.900,317.500,267.808,1270
0.900,1.000,273.250,259.726,1093
1.000,1.100,203.250,213.103,813
1.100,1.200,98.750,112.872,395
1.200,1.300,71.750,89.429,287
1.300,1.400,40.750,54.818,163
1.400,1.500,21.000,30.310,84
1.500,1.600,16.500,25.498,66
1.600,1.700,14.500,23.823,58
1.700,1.800,10.000,17.531,40
1.800,1.900,9.250,17.037,37
1.900,2.000,6.000,11.649,24
2.000,2.100,2.250,4.580,9
2.100,2.200,1.000,2.131,4
2.200,2.300,0.000,0.000,0
2.300,2.400,0.250,0.588,1
2.400,2.500,0.250,0.603,1
2.500,2.600,0.000,0.000,0
2.600,2.700,0.000,0.000,0
2.700,2.800,0.000,0.000,0
2.800,2.900,0.000,0.000,0
2.900,3.000,0.000,0.000,0
3.000,3.100,0.000,0.000,0
3.100,3.200,0.000,0.000,0
3.200,3.300,0.000,0.000,0
3.300,3.400,0.000,0.000,0
3.400,3.500,0.000,0.000,0
3.500,3.600,0.000,0.000,0
3.600,3.700,0.000,0.000,0
3.700,3.800,0.000,0.000,0
3.800,3.900,0.000,0.000,0
3.900,4.000,0.000,0.000,0
