Lower Elevation Range (m),Upper Elevation Range(m),Total Area (m2),Total Volume (m3),Number of Cells
-4.000,-3.900,0.000,0.000,0
-3.900,-3.800,0.000,0.000,0
-3.800,-3.700,0.000,0.000,0
-3.700,-3.600,0.000,0.000,0
-3.600,-3.500,0.000,0.000,0
-3.500,-3.400,0.000,0.000,0
-3.400,-3.300,0.000,0.000,0
-3.300,-3.200,0.000,0.000,0
-3.200,-3.100,0.000,0.000,0
-3.100,-3.000,0.250,0.755,1
-3.000,-2.900,0.000,0.000,0
-2.900,-2.800,0.500,1.431,2
-2.800,-2.700,1.000,2.733,4
-2.700,-2.600,2.500,6.598,10
-2.600,-2.500,0.750,1.904,3
-2.500,-2.400,2.250,5.518,9
-2.400,-2.300,1.750,4.111,7
-2.300,-2.200,1.500,3.358,6
-2.200,-2.100,3.500,7.491,14
-2.100,-2.000,4.500,9.255,18
-2.000,-1.900,4.000,7.796,16
-1.900,-1.800,5.500,10.215,22
-1.800,-1.700,7.250,12.701,29
-1.700,-1.600,9.000,14.832,36
-1.600,-1.500,17.250,26.555,69
-1.500,-1.400,69.500,100.290,278
-1.400,-1.300,145.750,196.352,583
-1.300,-1.200,187.750,234.255,751
-1.200,-1.100,259.250,297.042,1037
-1.100,-1.000,470.000,490.528,1880
-1.000,-0.900,697.500,660.953,2790
-0.900,-0.800,1278.750,1079.122,5115
-0.800,-0.700,2453.500,1829.534,9814
-0.700,-0.600,3990.500,2578.868,15962
-0.600,-0.500,6005.500,3281.322,24022
-0.500,-0.400,9103.750,4057.674,36415
-0.400,-0.300,14820.250,5133.704,59281
-0.300,-0.200,25154.250,6149.785,100617
-0.200,-0.100,53594.500,7677.815,214378
-0.100,0.000,110697.000,5380.241,442788
0.000,0.100,163570.500,7974.972,654282
0.100,0.200,66251.750,9454.304,265007
0.200,0.300,29366.500,7184.253,117466
0.300,0.400,16865.750,5836.366,67463
0.400,0.500,10512.000,4694.029,42048
0.500,0.600,6629.000,3608.086,26516
0.600,0.700,3783.000,2444.821,15132
0.700,0.800,2438.500,1818.565,9754
0.800,0.900,1375.250,1159.658,5501
0.900,1.000,467.750,439.005,1871
1.000,1.100,269.000,282.495,1076
1.100,1.200,247.500,283.963,990
1.200,1.300,151.250,187.784,605
1.300,1.400,76.250,102.914,305
1.400,1.500,59.250,85.555,237
1.500,1.600,29.500,45.589,118
1.600,1.700,18.750,30.990,75
1.700,1.800,14.000,24.439,56
1.800,1.900,11.000,20.338,44
1.900,2.000,10.750,20.949,43
2.000,2.100,7.250,14.865,29
2.100,2.200,3.250,6.953,13
2.200,2.300,1.250,2.807,5
2.300,2.400,0.250,0.582,1
2.400,2.500,0.250,0.624,1
2.500,2.600,0.250,0.638,1
2.600,2.700,0.000,0.000,0
2.700,2.800,0.000,0.000,0
2.800,2.900,0.000,0.000,0
2.900,3.000,0.000,0.000,0
3.000,3.100,0.000,0.000,0
3.100,3.200,0.000,0.000,0
3.200,3.300,0.000,0.000,0
3.300,3.400,0.000,0.000,0
3.400,3.500,0.000,0.000,0
3.500,3.600,0.000,0.000,0
3.600,3.700,0.000,0.000,0
3.700,3.800,0.000,0.000,0
3.800,3.900,0.000,0.000,0
3.900,4.000,0.000,0.000,0
