Lower Elevation Range (m),Upper Elevation Range(m),Total Area (m2),Total Volume (m3),Number of Cells
-2.500,-2.450,0.000,0.000,0
-2.450,-2.400,0.000,0.000,0
-2.400,-2.350,0.000,0.000,0
-2.350,-2.300,0.000,0.000,0
-2.300,-2.250,0.000,0.000,0
-2.250,-2.200,0.000,0.000,0
-2.200,-2.150,0.000,0.000,0
-2.150,-2.100,0.000,0.000,0
-2.100,-2.050,0.500,1.030,2
-2.050,-2.000,0.000,0.000,0
-2.000,-1.950,0.500,0.976,2
-1.950,-1.900,1.750,3.361,7
-1.900,-1.850,3.500,6.557,14
-1.850,-1.800,8.500,15.489,34
-1.800,-1.750,12.500,22.163,50
-1.750,-1.700,24.750,42.564,99
-1.700,-1.650,39.000,65.253,156
-1.650,-1.600,52.000,84.394,208
-1.600,-1.550,62.750,98.765,251
-1.550,-1.500,93.000,141.796,372
-1.500,-1.450,102.250,150.686,409
-1.450,-1.400,134.000,190.709,536
-1.400,-1.350,179.250,246.251,717
-1.350,-1.300,214.250,283.847,857
-1.300,-1.250,274.000,348.706,1096
-1.250,-1.200,384.000,469.794,1536
-1.200,-1.150,507.750,596.245,2031
-1.150,-1.100,571.750,642.707,2287
-1.100,-1.050,647.500,695.364,2590
-1.050,-1.000,786.750,805.229,3147
-1.000,-0.950,1117.250,1087.777,4469
-0.950,-0.900,1468.750,1357.030,5875
-0.900,-0.850,2002.250,1749.142,8009
-0.850,-0.800,2623.000,2162.440,10492
-0.800,-0.750,3146.250,2436.225,12585
-0.750,-0.700,3625.500,2626.955,14502
-0.700,-0.650,4236.000,2855.440,16944
-0.650,-0.600,5129.750,3202.422,20519
-0.600,-0.550,6033.750,3467.569,24135
-0.550,-0.500,6788.500,3558.943,27154
-0.500,-0.450,7840.750,3718.728,31363
-0.450,-0.400,9448.000,4012.026,37792
-0.400,-0.350,10239.250,3833.155,40957
-0.350,-0.300,10896.250,3547.414,43585
-0.300,-0.250,11533.000,3159.205,46132
-0.250,-0.200,12609.500,2847.458,50438
-0.200,-0.150,5865.250,1080.621,23461
-0.150,-0.100,0.500,0.073,2
-0.100,-0.050,0.000,0.000,0
-0.050,-0.000,0.000,0.000,0
-0.000,0.050,19182.000,696.054,76728
0.050,0.100,29039.000,2139.999,116156
0.100,0.150,21466.500,2655.791,85866
0.150,0.200,15030.500,2604.774,60122
0.200,0.250,10236.000,2287.157,40944
0.250,0.300,7145.500,1954.052,28582
0.300,0.350,5137.000,1664.353,20548
0.350,0.400,4004.000,1497.782,16016
0.400,0.450,3050.250,1292.609,12201
0.450,0.500,2271.250,1076.552,9085
0.500,0.550,1752.250,918.889,7009
0.550,0.600,1301.250,746.523,5205
0.600,0.650,829.250,516.076,3317
0.650,0.700,492.250,331.320,1969
0.700,0.750,284.000,205.318,1136
0.750,0.800,197.000,152.379,788
0.800,0.850,109.750,90.155,439
0.850,0.900,66.000,57.602,264
0.900,0.950,41.250,38.092,165
0.950,1.000,28.750,27.956,115
1.000,1.050,18.750,19.219,75
1.050,1.100,9.250,9.886,37
1.100,1.150,6.500,7.314,26
1.150,1.200,6.000,7.011,24
1.200,1.250,2.500,3.071,10
1.250,1.300,3.250,4.135,13
1.300,1.350,1.500,1.988,6
1.350,1.400,2.000,2.764,8
1.400,1.450,1.250,1.790,5
1.450,1.500,0.500,0.730,2
1.500,1.550,0.500,0.767,2
1.550,1.600,0.250,0.390,1
1.600,1.650,0.500,0.811,2
1.650,1.700,0.250,0.423,1
1.700,1.750,0.000,0.000,0
1.750,1.800,0.250,0.450,1
1.800,1.850,0.000,0.000,0
1.850,1.900,0.000,0.000,0
1.900,1.950,0.000,0.000,0
1.950,2.000,0.000,0.000,0
2.000,2.050,0.000,0.000,0
2.050,2.100,0.000,0.000,0
2.100,2.150,0.000,0.000,0
2.150,2.200,0.000,0.000,0
2.200,2.250,0.000,0.000,0
2.250,2.300,0.000,0.000,0
2.300,2.350,0.000,0.000,0
2.350,2.400,0.000,0.000,0
2.400,2.450,0.000,0.000,0
2.450,2.500,0.000,0.000,0
