Lower Elevation Range (m),Upper Elevation Range(m),Total Area (m2),Total Volume (m3),Number of Cells
-2.000,-1.950,0.000,0.000,0
-1.950,-1.900,0.500,0.956,2
-1.900,-1.850,0.000,0.000,0
-1.850,-1.800,0.750,1.358,3
-1.800,-1.750,1.750,3.105,7
-1.750,-1.700,3.750,6.456,15
-1.700,-1.650,8.250,13.800,33
-1.650,-1.600,12.000,19.497,48
-1.600,-1.550,25.000,39.314,100
-1.550,-1.500,38.500,58.659,154
-1.500,-1.450,50.000,73.724,200
-1.450,-1.400,71.750,102.039,287
-1.400,-1.350,89.250,122.695,357
-1.350,-1.300,103.750,137.418,415
-1.300,-1.250,137.500,175.264,550
-1.250,-1.200,179.500,219.764,718
-1.200,-1.150,213.500,250.910,854
-1.150,-1.100,298.500,335.189,1194
-1.100,-1.050,395.500,424.342,1582
-1.050,-1.000,497.750,509.887,1991
-1.000,-0.950,584.250,569.039,2337
-0.950,-0.900,682.750,631.115,2731
-0.900,-0.850,843.000,736.767,3372
-0.850,-0.800,1201.500,989.700,4806
-0.800,-0.750,1607.500,1243.778,6430
-0.750,-0.700,2231.250,1615.034,8925
-0.700,-0.650,2900.000,1956.128,11600
-0.650,-0.600,3286.500,2051.116,13146
-0.600,-0.550,3866.500,2221.058,15466
-0.550,-0.500,4631.500,2427.549,18526
-0.500,-0.450,5601.000,2655.940,22404
-0.450,-0.400,6665.250,2827.735,26661
-0.400,-0.350,7889.500,2953.553,31558
-0.350,-0.300,9411.000,3050.921,37644
-0.300,-0.250,11381.500,3124.771,45526
-0.250,-0.200,13952.500,3126.383,55810
-0.200,-0.150,14922.500,2618.076,59690
-0.150,-0.100,13959.250,1774.765,55837
-0.100,-0.050,959.000,91.531,3836
-0.050,0.000,0.000,0.000,0
0.000,0.050,0.000,0.000,0
0.050,0.100,1782.000,170.127,7128
0.100,0.150,25271.500,3203.445,101086
0.150,0.200,23554.250,4104.671,94217
0.200,0.250,19016.750,4257.813,76067
0.250,0.300,13468.000,3680.092,53872
0.300,0.350,9710.250,3144.066,38841
0.350,0.400,7169.750,2680.414,28679
0.400,0.450,5431.500,2300.268,21726
0.450,0.500,3844.750,1822.080,15379
0.500,0.550,3234.750,1696.730,12939
0.550,0.600,2611.250,1498.327,10445
0.600,0.650,1925.000,1201.200,7700
0.650,0.700,1562.000,1053.594,6248
0.700,0.750,1170.750,847.287,4683
0.750,0.800,729.750,563.931,2919
0.800,0.850,467.000,384.421,1868
0.850,0.900,286.500,250.232,1146
0.900,0.950,192.000,177.130,768
0.950,1.000,105.500,102.613,422
1.000,1.050,62.250,63.687,249
1.050,1.100,46.000,49.404,184
1.100,1.150,28.000,31.510,112
1.150,1.200,14.250,16.735,57
1.200,1.250,7.750,9.478,31
1.250,1.300,6.250,7.984,25
1.300,1.350,6.000,7.921,24
1.350,1.400,3.000,4.124,12
1.400,1.450,3.000,4.273,12
1.450,1.500,1.500,2.208,6
1.500,1.550,1.750,2.661,7
1.550,1.600,2.250,3.535,9
1.600,1.650,0.000,0.000,0
1.650,1.700,0.500,0.840,2
1.700,1.750,0.750,1.302,3
1.750,1.800,0.000,0.000,0
1.800,1.850,0.250,0.455,1
1.850,1.900,0.000,0.000,0
1.900,1.950,0.000,0.000,0
1.950,2.000,0.250,0.494,1
