Lower Elevation Range (m),Upper Elevation Range(m),Total Area (m2),Total Volume (m3),Number of Cells
-4.000,-3.900,0.000,0.000,0
-3.900,-3.800,0.000,0.000,0
-3.800,-3.700,0.000,0.000,0
-3.700,-3.600,0.000,0.000,0
-3.600,-3.500,0.000,0.000,0
-3.500,-3.400,0.000,0.000,0
-3.400,-3.300,0.000,0.000,0
-3.300,-3.200,0.500,1.622,2
-3.200,-3.100,0.250,0.789,1
-3.100,-3.000,0.250,0.772,1
-3.000,-2.900,0.750,2.202,3
-2.900,-2.800,0.250,0.701,1
-2.800,-2.700,1.250,3.421,5
-2.700,-2.600,1.500,3.974,6
-2.600,-2.500,2.500,6.387,10
-2.500,-2.400,7.000,17.125,28
-2.400,-2.300,21.250,49.759,85
-2.300,-2.200,46.000,103.250,184
-2.200,-2.100,56.250,121.039,225
-2.100,-2.000,55.000,112.616,220
-2.000,-1.900,83.750,163.004,335
-1.900,-1.800,119.000,219.938,476
-1.800,-1.700,162.000,283.075,648
-1.700,-1.600,267.500,439.818,1070
-1.600,-1.500,532.250,821.908,2129
-1.500,-1.400,896.000,1294.693,3584
-1.400,-1.300,1440.750,1940.105,5763
-1.300,-1.200,1994.500,2488.027,7978
-1.200,-1.100,3088.000,3537.749,12352
-1.100,-1.000,5248.250,5489.198,20993
-1.000,-0.900,8702.250,8229.015,34809
-0.900,-0.800,13351.000,11303.532,53404
-0.800,-0.700,19294.250,14405.462,77177
-0.700,-0.600,26130.000,16934.135,104520
-0.600,-0.500,34635.750,18971.009,138543
-0.500,-0.400,45091.750,20191.690,180367
-0.400,-0.300,52921.500,18510.950,211686
-0.300,-0.200,57878.250,14395.918,231513
-0.200,-0.100,13197.750,2437.780,52791
-0.100,0.000,0.000,0.000,0
0.000,0.100,63461.750,3803.034,253847
0.100,0.200,53072.250,7729.470,212289
0.200,0.300,34657.750,8540.711,138631
0.300,0.400,23191.250,8038.113,92765
0.400,0.500,15012.250,6709.255,60049
0.500,0.600,10189.250,5560.106,40757
0.600,0.700,6042.250,3902.624,24169
0.700,0.800,3609.250,2695.590,14437
0.800,0.900,2380.500,2016.953,9522
0.900,1.000,1710.250,1617.957,6841
1.000,1.100,799.500,834.179,3198
1.100,1.200,543.750,623.951,2175
1.200,1.300,298.500,370.758,1194
1.300,1.400,146.500,197.287,586
1.400,1.500,73.750,106.666,295
1.500,1.600,53.500,82.764,214
1.600,1.700,23.750,38.923,95
1.700,1.800,5.250,9.144,21
1.800,1.900,3.250,5.973,13
1.900,2.000,0.250,0.479,1
2.000,2.100,0.000,0.000,0
2.100,2.200,0.000,0.000,0
2.200,2.300,0.000,0.000,0
2.300,2.400,0.000,0.000,0
2.400,2.500,0.000,0.000,0
2.500,2.600,0.000,0.000,0
2.600,2.700,0.000,0.000,0
2.700,2.800,0.000,0.000,0
2.800,2.900,0.000,0.000,0
2.900,3.000,0.000,0.000,0
3.000,3.100,0.000,0.000,0
3.100,3.200,0.000,0.000,0
3.200,3.300,0.000,0.000,0
3.300,3.400,0.000,0.000,0
3.400,3.500,0.000,0.000,0
3.500,3.600,0.000,0.000,0
3.600,3.700,0.000,0.000,0
3.700,3.800,0.000,0.000,0
3.800,3.900,0.000,0.000,0
3.900,4.000,0.000,0.000,0
