Lower Elevation Range (m),Upper Elevation Range(m),Total Area (m2),Total Volume (m3),Number of Cells
-3.000,-2.900,0.750,2.223,3
-2.900,-2.800,0.250,0.720,1
-2.800,-2.700,0.500,1.363,2
-2.700,-2.600,0.500,1.329,2
-2.600,-2.500,1.000,2.548,4
-2.500,-2.400,1.500,3.638,6
-2.400,-2.300,3.250,7.665,13
-2.300,-2.200,9.000,20.266,36
-2.200,-2.100,25.500,54.512,102
-2.100,-2.000,49.000,100.144,196
-2.000,-1.900,52.750,102.967,211
-1.900,-1.800,60.250,111.198,241
-1.800,-1.700,87.750,152.998,351
-1.700,-1.600,135.250,222.480,541
-1.600,-1.500,185.500,287.163,742
-1.500,-1.400,350.500,505.875,1402
-1.400,-1.300,673.000,906.291,2692
-1.300,-1.200,1225.500,1526.704,4902
-1.200,-1.100,1715.000,1968.278,6860
-1.100,-1.000,2509.000,2624.849,10036
-1.000,-0.900,4147.750,3921.126,16591
-0.900,-0.800,6872.750,5813.384,27491
-0.800,-0.700,11342.750,8473.207,45371
-0.700,-0.600,16811.750,10875.111,67247
-0.600,-0.500,24944.250,13658.735,99777
-0.500,-0.400,34309.750,15341.049,137239
-0.400,-0.300,47968.750,16662.528,191875
-0.300,-0.200,70721.000,17448.445,282884
-0.200,-0.100,111444.500,16208.655,445778
-0.100,0.000,353940.000,14230.128,1415760
0.000,0.100,238795.000,7982.404,955180
0.100,0.200,89595.500,12985.097,358382
0.200,0.300,51127.000,12589.814,204508
0.300,0.400,34287.750,11882.279,137151
0.400,0.500,23159.500,10353.933,92638
0.500,0.600,15681.500,8571.684,62726
0.600,0.700,10761.250,6954.295,43045
0.700,0.800,6854.750,5110.899,27419
0.800,0.900,3941.500,3340.885,15766
0.900,1.000,2674.750,2532.192,10699
1.000,1.100,1828.500,1912.336,7314
1.100,1.200,926.000,1058.983,3704
1.200,1.300,596.000,744.644,2384
1.300,1.400,410.250,551.335,1641
1.400,1.500,185.500,267.830,742
1.500,1.600,100.750,155.565,403
1.600,1.700,67.000,110.563,268
1.700,1.800,39.750,69.318,159
1.800,1.900,12.000,22.057,48
1.900,2.000,5.250,10.200,21
2.000,2.100,2.500,5.116,10
2.100,2.200,0.500,1.084,2
2.200,2.300,1.250,2.817,5
2.300,2.400,0.750,1.768,3
2.400,2.500,0.250,0.614,1
2.500,2.600,0.000,0.000,0
2.600,2.700,0.000,0.000,0
2.700,2.800,0.000,0.000,0
2.800,2.900,0.000,0.000,0
2.900,3.000,0.000,0.000,0
