Lower Elevation Range (m),Upper Elevation Range(m),Total Area (m2),Total Volume (m3),Number of Cells
-3.000,-2.900,0.750,2.223,3
-2.900,-2.800,0.250,0.720,1
-2.800,-2.700,0.500,1.363,2
-2.700,-2.600,0.500,1.329,2
-2.600,-2.500,1.000,2.548,4
-2.500,-2.400,1.500,3.638,6
-2.400,-2.300,3.250,7.665,13
-2.300,-2.200,9.000,20.266,36
-2.200,-2.100,25.500,54.512,102
-2.100,-2.000,49.000,100.144,196
-2.000,-1.900,52.750,102.967,211
-1.900,-1.800,60.250,111.198,241
-1.800,-1.700,87.750,152.998,351
-1.700,-1.600,135.250,222.480,541
-1.600,-1.500,185.500,287.163,742
-1.500,-1.400,350.500,505.875,1402
-1.400,-1.300,673.000,906.291,2692
-1.300,-1.200,1225.500,1526.704,4902
-1.200,-1.100,1715.000,1968.278,6860
-1.100,-1.000,2508.750,2624.583,10035
-1.000,-0.900,4147.250,3920.664,16589
-0.900,-0.800,6872.000,5812.759,27488
-0.800,-0.700,11338.250,8469.853,45353
-0.700,-0.600,16806.250,10871.575,67225
-0.600,-0.500,24915.500,13643.241,99662
-0.500,-0.400,34162.500,15276.797,136650
-0.400,-0.300,47077.250,16364.825,188309
-0.300,-0.200,64322.500,15948.044,257290
-0.200,-0.100,66440.750,10099.068,265763
-0.100,0.000,2059.500,196.632,8238
0.000,0.100,2088.250,199.505,8353
0.100,0.200,63478.000,9543.526,253912
0.200,0.300,48503.750,11990.220,194015
0.300,0.400,34062.000,11806.383,136248
0.400,0.500,23108.000,10331.418,92432
0.500,0.600,15668.750,8564.831,62675
0.600,0.700,10745.250,6943.842,42981
0.700,0.800,6845.500,5103.949,27382
0.800,0.900,3934.750,3335.159,15739
0.900,1.000,2670.750,2528.402,10683
1.000,1.100,1825.500,1909.216,7302
1.100,1.200,924.500,1057.270,3698
1.200,1.300,595.000,743.404,2380
1.300,1.400,409.750,550.667,1639
1.400,1.500,185.000,267.105,740
1.500,1.600,100.750,155.565,403
1.600,1.700,67.000,110.563,268
1.700,1.800,39.750,69.318,159
1.800,1.900,12.000,22.057,48
1.900,2.000,5.250,10.200,21
2.000,2.100,2.500,5.116,10
2.100,2.200,0.500,1.084,2
2.200,2.300,1.250,2.817,5
2.300,2.400,0.750,1.768,3
2.400,2.500,0.250,0.614,1
2.500,2.600,0.000,0.000,0
2.600,2.700,0.000,0.000,0
2.700,2.800,0.000,0.000,0
2.800,2.900,0.000,0.000,0
2.900,3.000,0.000,0.000,0
