t [min]	h [mm]	Q [m3/s]
0	717	19.3
15	710	18.9
30	704	18.7
45	704	18.7
60	699	18.4
75	695	18.2
90	685	17.8
105	676	17.4
120	687	17.9
135	686	17.8
150	675	17.3
165	675	17.3
180	676	17.4
195	671	17.2
210	673	17.2
225	666	16.9
240	660	16.7
255	660	16.7
270	655	16.5
285	643	16.0
300	654	16.4
315	647	16.1
330	643	16.0
345	643	16.0
360	638	15.8
375	628	15.4
390	628	15.4
405	625	15.3
420	621	15.1
435	613	14.8
450	615	14.9
465	607	14.6
480	606	14.5
495	606	14.5
510	605	14.5
525	598	14.3
540	596	14.2
555	595	14.1
570	582	13.7
585	587	13.9
600	590	14.0
615	584	13.8
630	581	13.7
645	578	13.5
660	578	13.5
675	575	13.4
690	573	13.4
705	578	13.5
720	573	13.4
735	557	12.9
750	572	13.3
765	567	13.2
780	564	13.1
795	561	13.0
810	562	13.0
825	550	12.6
840	551	12.7
855	558	12.9
870	551	12.7
885	554	12.8
900	549	12.6
915	545	12.5
930	545	12.5
945	541	12.4
960	546	12.5
975	537	12.2
990	538	12.3
1005	537	12.2
1020	538	12.3
1035	534	12.1
1050	538	12.3
1065	537	12.2
1080	532	12.1
1095	534	12.1
1110	527	11.9
1125	531	12.1
1140	531	12.1
1155	527	11.9
1170	534	12.1
1185	528	12.0
1200	531	12.1
1215	527	11.9
1230	526	11.9
1245	518	11.7
1260	525	11.9
1275	520	11.7
1290	520	11.7
1305	521	11.8
1320	523	11.8
1335	515	11.6
1350	520	11.7
1365	518	11.7
1380	520	11.7
1395	520	11.7
1410	519	11.7
1425	512	11.5
1440	516	11.6
1455	517	11.6
1470	515	11.6
1485	509	11.4
1500	517	11.6
1515	514	11.6
1530	524	11.8
1545	511	11.5
1560	519	11.7
1575	519	11.7
1590	516	11.6
1605	520	11.7
1620	515	11.6
1635	518	11.7
1650	521	11.8
1665	523	11.8
1680	529	12.0
1695	527	11.9
1710	527	11.9
1725	526	11.9
1740	530	12.0
1755	524	11.8
1770	532	12.1
1785	532	12.1
1800	533	12.1
1815	524	11.8
1830	523	11.8
1845	528	12.0
1860	531	12.1
1875	528	12.0
1890	522	11.8
1905	521	11.8
1920	529	12.0
1935	526	11.9
1950	525	11.9
1965	530	12.0
1980	523	11.8
1995	527	11.9
2010	527	11.9
2025	520	11.7
2040	525	11.9
2055	523	11.8
2070	523	11.8
2085	525	11.9
2100	518	11.7
2115	514	11.6
2130	518	11.7
2145	516	11.6
2160	517	11.6
2175	515	11.6
2190	514	11.6
2205	507	11.4
2220	512	11.5
2235	512	11.5
2250	509	11.4
2265	510	11.5
2280	506	11.3
2295	502	11.2
2310	504	11.3
2325	508	11.4
2340	504	11.3
2355	501	11.2
2370	494	11.0
2385	501	11.2
2400	498	11.1
2415	497	11.1
2430	492	11.0
2445	501	11.2
2460	498	11.1
2475	484	10.8
2490	495	11.1
2505	499	11.2
2520	489	10.9
2535	498	11.1
2550	494	11.0
2565	496	11.1
2580	497	11.1
2595	498	11.1
2610	495	11.1
2625	496	11.1
2640	499	11.2
2655	497	11.1
2670	496	11.1
2685	494	11.0
2700	495	11.1
2715	496	11.1
2730	488	10.9
2745	495	11.1
2760	494	11.0
2775	486	10.8
2790	492	11.0
2805	489	10.9
2820	487	10.9
2835	486	10.8
2850	484	10.8
2865	482	10.7
2880	482	10.7
2895	485	10.8
2910	481	10.7
2925	486	10.8
2940	487	10.9
2955	482	10.7
2970	487	10.9
2985	488	10.9
3000	490	10.9
3015	484	10.8
3030	485	10.8
3045	484	10.8
3060	484	10.8
3075	491	11.0
3090	494	11.0
3105	488	10.9
3120	495	11.1
3135	492	11.0
3150	495	11.1
3165	492	11.0
3180	490	10.9
3195	491	11.0
3210	487	10.9
3225	496	11.1
3240	492	11.0
3255	489	10.9
3270	486	10.8
3285	491	11.0
3300	495	11.1
3315	494	11.0
3330	497	11.1
3345	486	10.8
3360	490	10.9
3375	486	10.8
3390	488	10.9
3405	492	11.0
3420	492	11.0
3435	490	10.9
3450	485	10.8
3465	493	11.0
3480	487	10.9
3495	487	10.9
3510	487	10.9
3525	486	10.8
3540	485	10.8
3555	477	10.6
3570	486	10.8
3585	485	10.8
3600	485	10.8
3615	479	10.7
3630	484	10.8
3645	478	10.6
3660	479	10.7
3675	483	10.8
3690	482	10.7
3705	477	10.6
3720	480	10.7
3735	480	10.7
3750	475	10.6
3765	476	10.6
3780	474	10.5
3795	478	10.6
3810	477	10.6
3825	479	10.7
3840	474	10.5
3855	472	10.5
3870	475	10.6
3885	473	10.5
3900	466	10.3
3915	475	10.6
3930	475	10.6
3945	475	10.6
3960	476	10.6
3975	473	10.5
3990	470	10.4
4005	469	10.4
4020	476	10.6
4035	473	10.5
4050	472	10.5
4065	468	10.4
4080	476	10.6
4095	469	10.4
4110	472	10.5
4125	474	10.5
4140	473	10.5
4155	471	10.5
4170	472	10.5
4185	467	10.4
4200	473	10.5
4215	465	10.3
4230	471	10.5
4245	469	10.4
4260	470	10.4
4275	474	10.5
4290	470	10.4
4305	474	10.5
4320	477	10.6
4335	481	10.7
4350	480	10.7
4365	476	10.6
4380	482	10.7
4395	483	10.8
4410	479	10.7
4425	481	10.7
4440	478	10.6
4455	477	10.6
4470	478	10.6
4485	482	10.7
4500	481	10.7
4515	476	10.6
4530	479	10.7
4545	483	10.8
4560	474	10.5
4575	481	10.7
4590	485	10.8
4605	486	10.8
4620	482	10.7
4635	480	10.7
4650	476	10.6
4665	477	10.6
4680	477	10.6
4695	473	10.5
4710	476	10.6
4725	473	10.5
4740	475	10.6
4755	474	10.5
4770	476	10.6
4785	472	10.5
4800	475	10.6
4815	471	10.5
4830	471	10.5
4845	473	10.5
4860	475	10.6
4875	472	10.5
4890	474	10.5
4905	466	10.3
4920	468	10.4
4935	466	10.3
4950	470	10.4
4965	469	10.4
4980	468	10.4
4995	473	10.5
5010	470	10.4
5025	469	10.4
5040	466	10.3
5055	471	10.5
5070	475	10.6
