Q[m^3/s]	 Qs[l/s]
30.000	3.634
31.000	3.726
32.000	3.735
33.000	3.865
34.000	3.877
35.000	4.130
36.000	4.194
37.000	4.473
38.000	4.624
39.000	4.608
40.000	4.849
41.000	4.952
42.000	5.123
43.000	5.302
44.000	5.509
45.000	5.589
46.000	5.737
47.000	5.968
48.000	6.196
49.000	6.399
50.000	6.674
51.000	6.771
52.000	6.935
53.000	7.182
54.000	7.452
55.000	7.619
56.000	7.918
57.000	8.133
58.000	8.360
59.000	8.548
60.000	8.764
61.000	9.038
62.000	9.380
63.000	9.609
64.000	9.878
65.000	10.177
66.000	10.439
67.000	10.705
68.000	10.975
69.000	11.199
70.000	11.412
71.000	11.750
72.000	12.035
73.000	12.238
74.000	12.540
75.000	12.870
76.000	13.110
77.000	13.435
78.000	13.679
79.000	13.870
80.000	14.056
81.000	14.328
82.000	14.724
83.000	15.126
84.000	15.356
85.000	15.694
86.000	15.926
87.000	16.250
88.000	16.635
89.000	16.902
90.000	17.289
91.000	17.329
92.000	17.237
93.000	17.286
94.000	17.882
95.000	18.106
96.000	18.347
97.000	18.506
98.000	18.700
99.000	19.118
100.000	19.323
101.000	19.561
102.000	19.922
103.000	20.041
104.000	20.511
105.000	20.888
106.000	21.255
107.000	21.581
108.000	21.952
109.000	22.220
110.000	22.572
111.000	22.957
112.000	23.248
113.000	23.614
114.000	23.974
115.000	24.341
116.000	24.682
117.000	25.078
118.000	25.441
119.000	25.822
120.000	26.133
121.000	26.512
122.000	26.937
123.000	27.297
124.000	27.767
125.000	28.054
126.000	28.419
127.000	28.814
128.000	29.216
129.000	29.571
130.000	29.827
131.000	30.258
132.000	30.617
133.000	30.938
134.000	31.415
135.000	31.873
136.000	32.235
137.000	32.550
138.000	33.030
139.000	33.438
140.000	33.869
141.000	34.361
142.000	34.697
143.000	35.109
144.000	35.577
145.000	35.773
146.000	36.288
147.000	36.789
148.000	37.244
149.000	37.583
150.000	37.823
151.000	38.122
152.000	38.750
153.000	39.110
154.000	39.527
155.000	40.002
156.000	40.111
157.000	40.798
158.000	41.282
159.000	41.740
160.000	42.257
161.000	42.452
162.000	43.018
163.000	43.434
164.000	43.940
165.000	44.449
166.000	44.947
167.000	45.453
168.000	45.826
169.000	46.263
170.000	46.851
171.000	47.213
172.000	47.676
173.000	48.154
174.000	48.779
175.000	49.238
176.000	48.514
177.000	49.147
178.000	49.551
179.000	49.899
180.000	50.415
181.000	50.802
182.000	51.255
183.000	51.609
184.000	52.065
