Q[m^3/s]	 b[m]
30.000	116.375
31.000	116.497
32.000	116.737
33.000	117.689
34.000	119.957
35.000	122.058
36.000	123.378
37.000	125.366
38.000	127.167
39.000	129.992
40.000	132.354
41.000	133.491
42.000	134.636
43.000	136.753
44.000	138.906
45.000	141.003
46.000	142.882
47.000	143.459
48.000	143.926
49.000	145.239
50.000	146.232
51.000	147.824
52.000	149.854
53.000	152.429
54.000	154.601
55.000	156.256
56.000	156.735
57.000	157.397
58.000	158.904
59.000	160.772
60.000	161.320
61.000	162.350
62.000	163.553
63.000	165.184
64.000	166.862
65.000	167.763
66.000	168.621
67.000	169.559
68.000	170.066
69.000	172.045
70.000	173.650
71.000	174.205
72.000	175.006
73.000	176.326
74.000	176.824
75.000	177.599
76.000	178.282
77.000	179.328
78.000	180.708
79.000	182.529
80.000	184.110
81.000	185.624
82.000	186.605
83.000	187.514
84.000	189.629
85.000	191.212
86.000	193.384
87.000	194.115
88.000	195.083
89.000	196.658
90.000	197.216
91.000	198.345
92.000	201.781
93.000	205.256
94.000	206.457
95.000	207.805
96.000	208.124
97.000	209.398
98.000	211.159
99.000	212.337
100.000	214.033
101.000	215.371
102.000	216.592
103.000	218.576
104.000	219.002
105.000	219.705
106.000	220.782
107.000	221.960
108.000	222.357
109.000	223.053
110.000	223.536
111.000	224.404
112.000	225.442
113.000	225.972
114.000	226.645
115.000	227.126
116.000	227.752
117.000	228.332
118.000	228.945
119.000	229.790
120.000	231.352
121.000	232.149
122.000	233.136
123.000	233.691
124.000	233.921
125.000	234.840
126.000	235.561
127.000	236.711
128.000	237.719
129.000	238.411
130.000	239.857
131.000	240.645
132.000	241.898
133.000	242.869
134.000	243.787
135.000	244.284
136.000	245.020
137.000	246.257
138.000	246.406
139.000	247.544
140.000	248.283
141.000	248.882
142.000	250.489
143.000	251.808
144.000	252.305
145.000	253.781
146.000	254.743
147.000	255.641
148.000	256.031
149.000	257.178
150.000	259.004
151.000	260.558
152.000	261.018
153.000	262.896
154.000	264.072
155.000	265.548
156.000	267.586
157.000	268.203
158.000	269.908
159.000	270.754
160.000	271.735
161.000	273.771
162.000	274.312
163.000	275.401
164.000	275.897
165.000	276.689
166.000	277.114
167.000	277.474
168.000	278.471
169.000	279.898
170.000	280.510
171.000	281.751
172.000	282.741
173.000	283.575
174.000	284.173
175.000	285.427
176.000	286.875
177.000	287.259
178.000	288.089
179.000	289.522
180.000	289.969
181.000	291.262
182.000	291.764
183.000	293.012
184.000	294.040
185.000	295.150
186.000	295.564
187.000	296.085
188.000	297.020
189.000	297.720
190.000	298.630
191.000	300.366
192.000	301.063
193.000	301.958
194.000	302.790
195.000	303.337
196.000	303.575
197.000	304.312
198.000	304.934
199.000	305.692
200.000	306.236
201.000	307.033
202.000	307.834
203.000	308.617
204.000	309.590
205.000	311.362
206.000	312.168
207.000	312.753
208.000	313.765
209.000	314.503
210.000	316.187
211.000	316.859
212.000	318.105
213.000	318.964
214.000	319.744
215.000	320.642
216.000	321.167
217.000	321.497
218.000	321.716
219.000	322.377
220.000	323.562
221.000	324.622
222.000	325.044
223.000	325.552
224.000	326.543
225.000	327.678
226.000	329.073
227.000	329.779
228.000	330.119
229.000	330.283
230.000	330.554
231.000	330.934
232.000	331.568
233.000	332.994
234.000	333.398
235.000	334.064
236.000	334.800
237.000	335.485
238.000	335.732
239.000	336.398
240.000	337.254
241.000	337.682
242.000	338.350
243.000	339.633
244.000	340.163
245.000	340.598
246.000	341.037
247.000	341.573
248.000	342.150
249.000	342.608
250.000	343.014
251.000	343.444
252.000	343.584
253.000	344.019
254.000	344.630
255.000	345.364
256.000	346.239
257.000	346.524
258.000	347.065
259.000	347.689
260.000	348.247
261.000	348.554
262.000	348.820
263.000	349.148
264.000	349.361
265.000	349.475
266.000	349.822
267.000	350.042
268.000	350.836
269.000	351.135
270.000	351.527
271.000	352.035
272.000	352.211
273.000	352.424
274.000	353.247
275.000	353.724
276.000	354.316
277.000	354.734
278.000	355.094
279.000	355.654
280.000	356.488
281.000	356.910
282.000	357.001
283.000	358.549
284.000	359.499
285.000	360.410
286.000	360.709
287.000	361.098
288.000	361.771
289.000	363.072
290.000	364.649
291.000	365.176
292.000	365.386
293.000	366.093
294.000	366.263
295.000	366.713
296.000	367.089
297.000	367.711
298.000	367.917
299.000	368.369
300.000	368.619
301.000	368.870
302.000	370.204
303.000	371.295
304.000	371.525
305.000	372.125
306.000	373.056
307.000	373.616
308.000	373.993
309.000	374.220
310.000	375.679
311.000	376.110
312.000	376.387
