  section         X    mean y
        1      -440       2.4
        2      -390       3.0
        3      -340       2.1
        4      -290       1.6
        5      -240       1.5
        6      -190       1.4
        7      -140       1.9
        8       -90       1.7
        9       -40       1.1
       10        10       1.7
       11        60       1.7
       12       110       2.1
       13       160       2.5
       14       210       2.4
       15       260       2.6
       16       310       2.9
       17       360       3.2
       18       410       2.9
       19       460       2.5
       20       510       2.0
       21       560       2.7
       22       610       2.7
       23       660       2.7
       24       710       2.9
       25       760       2.3
       26       810       3.2
       27       860       3.8
       28       910       4.3
       29       960       4.2
       30      1010       3.8
       31      1060       4.1
       32      1110       3.3
       33      1160       3.3
       34      1210       3.1
       35      1260       2.7
       36      1310       2.7
       37      1360       2.3
       38      1410       1.7
       39      1460       1.5
       40      1510       1.7
       41      1560       1.8
       42      1610       1.4
       43      1660       1.4
       44      1710       1.0
       45      1760       1.2
       46      1810       1.4
       47      1860       0.0
       48      1910       0.1
       49      1960      -0.1
       50      2010      -0.3
       51      2060      -0.1
       52      2110      -1.1
       53      2160      -1.4
       54      2210      -1.2
       55      2260      -0.7
       56      2310      -0.8
       57      2360      -0.7
       58      2410      -0.7
       59      2460      -0.1
       60      2510       0.7
       61      2560       0.6
       62      2610       1.6
       63      2660       1.1
       64      2710       1.2
       65      2760       1.0
       66      2810       1.2
       67      2860       1.8
       68      2910       2.0
       69      2960       1.9
       70      3010       2.4
       71      3060       3.1
       72      3110       2.9
       73      3160       1.9
       74      3210       2.1
       75      3260       1.7
       76      3310       1.8
       77      3360       1.0
       78      3410       0.6
       79      3460       0.1
       80      3510       1.2
       81      3560       1.1
       82      3610       1.5
       83      3660       1.2
       84      3710       1.8
       85      3760       0.8
       86      3810       1.2
       87      3860       0.6
       88      3910       0.9
       89      3960       0.3
       90      4010       0.3
       91      4060       0.5
       92      4110       0.5
       93      4160       0.1
       94      4210      -0.9
       95      4260       0.5
       96      4310       0.7
       97      4360       0.8
       98      4410      -0.1
       99      4460       0.3
      100      4510      -0.5
      101      4560      -0.4
      102      4610      -0.1
      103      4660       1.0
      104      4710       0.3
      105      4760       1.2
      106      4810       0.6
      107      4860       1.1
      108      4910       0.3
      109      4960       0.3
      110      5010      -0.7
      111      5060      -0.5
      112      5110      -1.3
      113      5160      -0.9
      114      5210      -1.8
      115      5260      -0.7
      116      5310      -1.7
      117      5360      -1.6
      118      5410      -1.7
      119      5460      -1.2
