  section         X    mean y
        1      -440       2.5
        2      -390       2.3
        3      -340       2.3
        4      -290       1.7
        5      -240       1.8
        6      -190       1.9
        7      -140       2.4
        8       -90       2.3
        9       -40       1.8
       10        10       2.1
       11        60       2.2
       12       110       2.9
       13       160       2.5
       14       210       2.1
       15       260       2.1
       16       310       2.6
       17       360       2.1
       18       410       2.1
       19       460       2.2
       20       510       2.5
       21       560       2.1
       22       610       2.5
       23       660       2.1
       24       710       2.3
       25       760       1.5
       26       810       2.8
       27       860       3.2
       28       910       4.0
       29       960       3.4
       30      1010       4.2
       31      1060       3.9
       32      1110       3.5
       33      1160       3.6
       34      1210       2.7
       35      1260       2.6
       36      1310       2.4
       37      1360       2.4
       38      1410       1.8
       39      1460       1.5
       40      1510       1.8
       41      1560       0.8
       42      1610       1.0
       43      1660       1.2
       44      1710      -0.2
       45      1760      -0.5
       46      1810       0.0
       47      1860       0.0
       48      1910      -0.2
       49      1960      -0.1
       50      2010       0.0
       51      2060      -1.1
       52      2110      -0.3
       53      2160      -0.3
       54      2210      -0.2
       55      2260       0.2
       56      2310      -0.5
       57      2360      -0.8
       58      2410      -0.2
       59      2460      -0.6
       60      2510      -0.2
       61      2560       0.0
       62      2610      -0.8
       63      2660       0.2
       64      2710      -0.1
       65      2760      -0.4
       66      2810       0.4
       67      2860       0.4
       68      2910       0.2
       69      2960      -0.2
       70      3010       0.2
       71      3060       0.5
       72      3110       0.3
       73      3160       0.6
       74      3210       0.0
       75      3260       0.4
       76      3310       1.3
       77      3360       0.6
       78      3410       0.6
       79      3460       0.7
       80      3510       0.3
       81      3560       1.9
       82      3610       1.6
       83      3660       1.6
       84      3710       2.1
       85      3760       1.3
       86      3810       1.6
       87      3860       1.8
       88      3910       1.0
       89      3960       1.7
       90      4010       1.7
       91      4060       0.6
       92      4110       2.2
       93      4160       1.1
       94      4210       1.3
       95      4260       2.5
       96      4310       1.6
       97      4360       2.0
       98      4410       1.0
       99      4460       0.9
      100      4510       1.4
      101      4560       0.5
      102      4610       1.0
      103      4660       1.3
      104      4710       0.0
      105      4760       0.8
      106      4810       0.1
      107      4860      -0.4
      108      4910       0.2
      109      4960      -0.4
      110      5010      -0.1
      111      5060       0.3
      112      5110      -0.9
      113      5160       0.0
      114      5210      -0.7
      115      5260      -0.2
      116      5310       0.4
      117      5360      -0.6
      118      5410       0.2
      119      5460      -0.1
      120      5510      -0.9
      121      5560       0.0
      122      5610      -0.7
      123      5660      -0.3
      124      5710      -0.5
      125      5760      -1.0
      126      5810       0.0
      127      5860      -0.6
      128      5910      -0.7
      129      5960      -0.4
      130      6010      -1.1
      131      6060      -0.5
      132      6110      -0.8
      133      6160      -0.9
      134      6210      -0.3
      135      6260      -1.4
      136      6310      -1.3
      137      6360       0.4
      138      6410       0.3
      139      6460       1.2
      140      6510      -0.2
      141      6560       0.1
      142      6610      -0.1
      143      6660      -0.4
      144      6710      -0.8
      145      6760      -0.5
      146      6810      -0.2
      147      6860       0.0
      148      6910      -0.1
      149      6960      -0.8
      150      7010      -1.0
      151      7060      -1.3
      152      7110      -1.7
      153      7160      -1.4
      154      7210      -2.6
      155      7260      -2.1
      156      7310      -1.9
      157      7360      -1.3
      158      7410      -0.8
      159      7460      -0.3
      160      7510      -0.1
      161      7560       0.1
      162      7610      -0.1
      163      7660       0.3
      164      7710       0.6
      165      7760       1.2
      166      7810       2.2
      167      7860       1.3
      168      7910       0.8
      169      7960       0.7
      170      8010       0.0
      171      8060       0.4
      172      8110      -0.3
      173      8160       0.0
      174      8210      -0.1
      175      8260      -1.1
      176      8310      -0.5
      177      8360      -0.5
      178      8410       0.3
      179      8460       0.7
      180      8510       0.4
      181      8560       0.0
      182      8610       0.2
      183      8660      -0.3
      184      8710      -0.3
      185      8760      -0.4
      186      8810      -0.2
      187      8860       0.5
      188      8910      -0.4
      189      8960       0.0
      190      9010       0.0
      191      9060      -0.3
      192      9110      -0.2
      193      9160      -0.3
      194      9210      -0.5
      195      9260      -0.7
      196      9310      -0.9
      197      9360      -1.1
      198      9410      -0.9
      199      9460      -1.5
      200      9510      -0.8
      201      9560      -1.2
      202      9610      -0.4
      203      9660       0.1
      204      9710       0.2
      205      9760       0.4
      206      9810       0.5
      207      9860       0.0
      208      9910      -0.2
      209      9960       0.0
      210     10010      -0.9
      211     10060       0.8
      212     10110       0.3
      213     10160       1.4
      214     10210       1.4
      215     10260       2.1
      216     10310       2.2
      217     10360       2.6
      218     10410       2.1
      219     10460       2.1
      220     10510       2.0
      221     10560       1.7
      222     10610       1.7
      223     10660       1.3
      224     10710       1.8
      225     10760       1.2
      226     10810       1.1
      227     10860       0.2
      228     10910      -0.4
      229     10960      -0.3
      230     11010       0.1
      231     11060       0.3
      232     11110       0.1
      233     11160      -0.3
      234     11210      -0.8
      235     11260       0.1
      236     11310      -0.5
      237     11360       0.1
      238     11410      -0.5
      239     11460      -0.6
      240     11510       0.7
      241     11560       0.1
      242     11610       0.5
      243     11660      -0.4
      244     11710       0.0
      245     11760      -1.5
      246     11810      -1.0
      247     11860      -2.1
      248     11910      -1.1
      249     11960      -2.6
      250     12010      -2.6
      251     12060      -2.4
      252     12110      -3.4
      253     12160      -3.1
      254     12210      -3.9
      255     12260      -5.6
      256     12310      -4.6
      257     12360      -3.1
      258     12410      -3.9
      259     12460      -4.0
      260     12510      -5.1
      261     12560      -4.5
      262     12610      -5.0
      263     12660      -4.7
      264     12710      -4.5
      265     12760      -4.5
      266     12810      -4.4
      267     12860      -4.3
      268     12910      -4.7
      269     12960      -4.3
      270     13010      -4.1
      271     13060      -3.9
      272     13110      -3.6
      273     13160      -4.1
      274     13210      -3.8
      275     13260      -3.8
      276     13310      -4.3
      277     13360      -4.8
      278     13410      -4.6
