  section         X    mean y
        1      -440       2.7
        2      -390       2.5
        3      -340       2.7
        4      -290       1.6
        5      -240       2.6
        6      -190       1.6
        7      -140       2.6
        8       -90       2.8
        9       -40       2.2
       10        10       2.4
       11        60       2.5
       12       110       3.1
       13       160       2.9
       14       210       2.8
       15       260       2.9
       16       310       2.9
       17       360       2.5
       18       410       3.1
       19       460       2.9
       20       510       2.8
       21       560       3.7
       22       610       3.3
       23       660       3.7
       24       710       2.3
       25       760       2.5
       26       810       2.9
       27       860       3.1
       28       910       4.1
       29       960       3.5
       30      1010       4.3
       31      1060       3.5
       32      1110       3.2
       33      1160       2.9
       34      1210       2.0
       35      1260       2.2
       36      1310       2.1
       37      1360       1.8
       38      1410       1.7
       39      1460       1.4
       40      1510       1.4
       41      1560       1.0
       42      1610       1.1
       43      1660       0.7
       44      1710       0.5
       45      1760       0.1
       46      1810      -0.1
       47      1860       0.1
       48      1910       0.2
       49      1960       0.1
       50      2010       0.2
       51      2060      -0.6
       52      2110      -0.8
       53      2160      -0.1
       54      2210       0.1
       55      2260      -0.1
       56      2310       0.0
       57      2360      -0.3
       58      2410       0.0
       59      2460      -0.4
       60      2510      -0.1
       61      2560      -0.3
       62      2610      -0.4
       63      2660       0.4
       64      2710      -0.5
       65      2760       0.2
       66      2810      -0.2
       67      2860       0.5
       68      2910       0.4
       69      2960      -0.5
       70      3010       0.6
       71      3060       0.0
       72      3110       1.1
       73      3160       0.5
       74      3210       0.3
       75      3260       1.2
       76      3310       0.8
       77      3360       1.4
       78      3410       0.8
       79      3460       1.0
       80      3510       1.2
       81      3560       1.1
       82      3610       2.0
       83      3660       1.8
       84      3710       2.0
       85      3760       1.5
       86      3810       1.6
       87      3860       1.8
       88      3910       1.8
       89      3960       1.4
       90      4010       1.3
       91      4060       0.8
       92      4110       1.1
       93      4160       1.2
       94      4210       0.1
       95      4260       1.8
       96      4310       1.8
       97      4360       1.6
       98      4410       1.5
       99      4460       0.8
      100      4510       1.1
      101      4560      -0.1
      102      4610       0.6
      103      4660       1.7
      104      4710       1.0
      105      4760       1.1
      106      4810      -0.1
      107      4860       0.8
      108      4910       0.3
      109      4960       0.5
      110      5010       0.5
      111      5060       0.0
      112      5110       0.5
      113      5160       0.1
      114      5210       0.0
      115      5260       0.2
      116      5310      -0.2
      117      5360      -0.6
      118      5410      -1.0
      119      5460      -1.3
      120      5510      -1.4
      121      5560      -1.4
      122      5610      -0.9
      123      5660      -0.6
      124      5710      -1.4
      125      5760      -0.5
      126      5810      -1.0
      127      5860      -0.9
      128      5910      -0.5
      129      5960      -1.0
      130      6010      -0.2
      131      6060      -1.2
      132      6110      -0.5
      133      6160      -0.3
      134      6210      -1.1
      135      6260      -0.4
      136      6310      -1.4
      137      6360       0.8
      138      6410       0.7
      139      6460       0.5
      140      6510       0.0
      141      6560      -0.8
      142      6610      -0.2
      143      6660      -0.6
      144      6710      -0.5
      145      6760      -0.1
      146      6810      -0.3
      147      6860      -0.2
      148      6910      -0.3
      149      6960      -0.6
      150      7010      -1.2
      151      7060      -1.5
      152      7110      -1.7
      153      7160      -1.6
      154      7210      -1.9
      155      7260      -1.6
      156      7310      -1.1
      157      7360      -1.3
      158      7410      -0.4
      159      7460      -0.7
      160      7510       0.5
      161      7560      -0.1
      162      7610      -0.3
      163      7660       0.5
      164      7710       0.6
      165      7760       1.1
      166      7810       0.0
      167      7860      -0.2
      168      7910      -0.9
      169      7960      -1.7
      170      8010      -0.9
      171      8060      -1.7
      172      8110      -1.1
      173      8160      -1.2
      174      8210      -1.4
      175      8260      -0.7
      176      8310      -1.3
      177      8360       0.0
      178      8410       0.1
      179      8460       0.0
      180      8510       0.2
      181      8560      -0.6
      182      8610       0.1
      183      8660      -0.7
      184      8710      -1.1
      185      8760      -0.7
      186      8810      -0.9
