  section         X    mean y
        1      -440       2.4
        2      -390       3.2
        3      -340       2.4
        4      -290       2.0
        5      -240       1.9
        6      -190       1.9
        7      -140       2.1
        8       -90       2.5
        9       -40       1.9
       10        10       1.7
       11        60       2.3
       12       110       2.8
       13       160       3.0
       14       210       3.0
       15       260       2.8
       16       310       2.9
       17       360       2.9
       18       410       2.7
       19       460       2.4
       20       510       2.4
       21       560       2.7
       22       610       3.1
       23       660       3.6
       24       710       3.5
       25       760       2.9
       26       810       3.1
       27       860       3.8
       28       910       3.3
       29       960       3.2
       30      1010       3.2
       31      1060       3.1
       32      1110       2.8
       33      1160       2.8
       34      1210       3.3
       35      1260       3.3
       36      1310       3.3
       37      1360       2.8
       38      1410       2.1
       39      1460       1.6
       40      1510       1.8
       41      1560       1.7
       42      1610       1.9
       43      1660       2.1
       44      1710       2.1
       45      1760       1.9
       46      1810       2.0
       47      1860       1.5
       48      1910       1.4
       49      1960       1.1
       50      2010       0.9
       51      2060       0.9
       52      2110       0.5
       53      2160       0.8
       54      2210       0.2
       55      2260       0.6
       56      2310       0.9
       57      2360       1.2
       58      2410       1.1
       59      2460       1.0
       60      2510       1.2
       61      2560       1.2
       62      2610       0.5
       63      2660       0.6
       64      2710       0.7
       65      2760       0.7
       66      2810       0.4
       67      2860       0.5
       68      2910       1.0
       69      2960       0.4
       70      3010       0.1
       71      3060       0.8
       72      3110       0.5
       73      3160       0.7
       74      3210       0.6
       75      3260       0.6
       76      3310       1.2
       77      3360       0.8
       78      3410       0.5
       79      3460       0.7
       80      3510       0.2
       81      3560       0.9
       82      3610       0.9
       83      3660       1.4
       84      3710       0.7
       85      3760       1.1
       86      3810       0.5
       87      3860       0.8
       88      3910       0.2
       89      3960       0.4
       90      4010       0.0
       91      4060      -0.4
       92      4110      -0.2
       93      4160      -0.3
       94      4210      -1.0
       95      4260      -0.6
       96      4310       0.5
       97      4360       0.1
       98      4410       0.0
       99      4460      -0.9
      100      4510      -0.3
      101      4560      -0.9
      102      4610      -1.7
      103      4660      -0.9
      104      4710      -0.7
      105      4760      -0.7
      106      4810      -0.4
      107      4860      -0.5
      108      4910      -0.3
      109      4960      -0.8
      110      5010      -0.6
      111      5060      -0.9
      112      5110      -1.0
      113      5160      -0.9
      114      5210      -0.5
      115      5260       0.1
      116      5310      -0.1
      117      5360       0.6
      118      5410      -0.1
      119      5460      -0.7
      120      5510      -0.9
      121      5560       0.0
      122      5610       0.1
      123      5660       0.8
      124      5710       0.6
      125      5760       0.9
      126      5810       0.4
      127      5860       0.5
      128      5910      -0.6
      129      5960      -0.6
      130      6010      -0.5
      131      6060       0.1
      132      6110       0.1
      133      6160      -0.8
      134      6210      -0.1
      135      6260      -0.9
      136      6310      -0.9
      137      6360      -0.9
      138      6410       0.1
      139      6460       0.2
      140      6510       0.4
      141      6560      -0.2
      142      6610      -0.3
      143      6660      -0.6
      144      6710      -0.7
      145      6760      -0.5
      146      6810      -0.3
      147      6860      -0.1
      148      6910      -0.8
      149      6960      -0.8
      150      7010      -1.7
      151      7060      -1.8
      152      7110      -2.4
      153      7160      -2.3
      154      7210      -2.7
      155      7260      -1.4
      156      7310      -2.2
      157      7360      -0.7
      158      7410      -1.8
      159      7460      -1.4
      160      7510      -0.7
      161      7560      -0.6
      162      7610      -0.7
      163      7660      -0.8
      164      7710      -0.6
      165      7760      -0.4
      166      7810      -0.3
      167      7860      -1.1
      168      7910      -1.4
      169      7960      -1.8
      170      8010      -1.1
      171      8060      -1.8
      172      8110      -1.6
      173      8160      -1.7
      174      8210      -1.1
      175      8260      -1.2
      176      8310      -1.0
      177      8360      -0.9
      178      8410      -0.7
      179      8460       0.1
      180      8510       0.2
      181      8560      -0.3
      182      8610      -0.7
      183      8660       0.3
      184      8710      -0.6
      185      8760      -0.8
      186      8810      -1.1
      187      8860      -0.8
      188      8910      -1.4
      189      8960      -0.7
      190      9010      -1.1
      191      9060      -0.8
      192      9110      -0.7
      193      9160      -1.0
      194      9210      -1.3
      195      9260      -1.3
      196      9310      -1.0
      197      9360      -1.2
      198      9410      -1.3
      199      9460      -0.6
      200      9510      -0.4
      201      9560      -0.5
      202      9610       0.5
      203      9660       0.7
      204      9710       1.6
      205      9760       1.1
      206      9810       1.4
      207      9860       0.9
      208      9910       0.0
      209      9960      -0.4
      210     10010       1.2
      211     10060       1.3
      212     10110       1.4
      213     10160       0.7
      214     10210       1.5
      215     10260       0.8
      216     10310       1.0
      217     10360       1.1
      218     10410       1.8
      219     10460       0.8
      220     10510       1.5
      221     10560       0.9
      222     10610       1.3
      223     10660       0.6
      224     10710       1.1
      225     10760       0.8
      226     10810       0.6
      227     10860      -0.2
      228     10910      -0.4
      229     10960      -1.5
      230     11010      -0.4
      231     11060       0.6
      232     11110       0.4
      233     11160      -0.4
      234     11210       0.4
      235     11260      -0.3
      236     11310      -0.1
      237     11360      -0.7
      238     11410      -0.9
      239     11460      -2.3
      240     11510      -1.1
      241     11560      -1.3
      242     11610      -0.8
      243     11660      -0.9
      244     11710      -0.1
      245     11760      -1.2
      246     11810      -1.2
      247     11860      -1.5
      248     11910      -1.5
      249     11960      -0.6
      250     12010      -0.8
      251     12060      -1.3
      252     12110      -1.9
      253     12160      -1.5
      254     12210      -2.2
      255     12260      -1.8
      256     12310      -2.4
      257     12360      -2.4
      258     12410      -3.2
      259     12460      -2.7
      260     12510      -3.5
      261     12560      -3.5
      262     12610      -3.7
      263     12660      -3.4
      264     12710      -3.5
      265     12760      -3.4
      266     12810      -3.7
      267     12860      -3.9
      268     12910      -3.2
      269     12960      -3.6
      270     13010      -3.7
      271     13060      -3.1
      272     13110      -2.6
      273     13160      -3.3
      274     13210      -3.4
      275     13260      -3.0
      276     13310      -3.9
      277     13360      -3.6
      278     13410      -4.3
