  section         X    mean y
        1      -440       0.3
        2      -390      -0.2
        3      -340       0.2
        4      -290      -0.2
        5      -240      -0.2
        6      -190      -0.4
        7      -140      -0.9
        8       -90      -0.5
        9       -40      -0.7
       10        10       0.2
       11        60       0.3
       12       110       0.0
       13       160      -0.3
       14       210      -0.5
       15       260      -0.1
       16       310      -1.4
       17       360      -1.3
       18       410      -2.0
       19       460      -1.6
       20       510      -2.1
       21       560      -2.3
       22       610      -1.8
       23       660      -1.6
       24       710      -0.4
       25       760      -0.6
       26       810      -0.1
       27       860      -0.7
       28       910      -0.3
       29       960      -0.4
       30      1010       0.1
       31      1060       0.2
       32      1110       0.2
       33      1160       0.5
       34      1210       0.1
       35      1260       0.7
       36      1310      -0.1
       37      1360       1.1
       38      1410       0.9
       39      1460       1.6
       40      1510       1.1
       41      1560       1.0
       42      1610       1.4
       43      1660       1.0
       44      1710       1.5
       45      1760       0.8
       46      1810       1.0
       47      1860       0.1
       48      1910       0.3
       49      1960       0.1
       50      2010       0.1
       51      2060       0.9
       52      2110       0.8
       53      2160       1.7
       54      2210       0.8
       55      2260       0.7
       56      2310       1.1
       57      2360       1.6
       58      2410       0.9
       59      2460       0.9
       60      2510       0.5
       61      2560       0.5
       62      2610       0.2
       63      2660      -0.3
       64      2710       0.0
       65      2760       0.2
       66      2810       0.7
       67      2860       0.2
       68      2910       0.3
       69      2960       0.2
       70      3010       0.5
       71      3060       0.8
       72      3110       0.3
       73      3160       1.0
       74      3210       0.2
       75      3260       0.5
       76      3310       0.4
       77      3360       0.9
       78      3410       0.1
       79      3460      -0.7
       80      3510      -1.4
       81      3560      -2.1
       82      3610      -1.5
       83      3660      -2.3
       84      3710      -1.4
       85      3760      -2.0
       86      3810      -1.1
       87      3860      -1.7
       88      3910      -1.1
       89      3960      -1.5
       90      4010      -1.9
       91      4060      -1.3
       92      4110      -1.5
       93      4160      -0.2
       94      4210      -0.5
       95      4260      -0.1
       96      4310      -0.5
       97      4360      -0.1
       98      4410      -0.5
       99      4460      -0.9
      100      4510      -1.0
      101      4560      -1.4
      102      4610      -1.0
      103      4660      -1.4
      104      4710      -1.2
      105      4760      -2.0
      106      4810      -1.5
      107      4860      -2.5
      108      4910      -2.1
      109      4960      -2.1
      110      5010      -2.2
      111      5060      -1.3
      112      5110      -0.9
      113      5160      -0.2
      114      5210      -1.3
      115      5260      -1.3
      116      5310      -1.6
      117      5360      -0.4
      118      5410       0.0
      119      5460       0.6
      120      5510       0.7
      121      5560       0.3
      122      5610       0.7
      123      5660       0.2
      124      5710       1.0
      125      5760       0.2
      126      5810       0.7
      127      5860       0.1
      128      5910       0.8
      129      5960       1.0
      130      6010       1.2
      131      6060       1.3
      132      6110       1.2
      133      6160       1.3
      134      6210       0.6
      135      6260       0.8
      136      6310      -0.2
      137      6360       0.1
      138      6410      -0.4
      139      6460       0.3
      140      6510       0.1
      141      6560      -0.1
      142      6610       0.2
      143      6660      -0.4
      144      6710       0.2
      145      6760      -0.2
      146      6810       0.2
      147      6860      -0.2
      148      6910       0.4
      149      6960      -0.2
      150      7010       0.9
      151      7060       0.5
      152      7110      -0.3
      153      7160      -0.1
      154      7210       0.0
      155      7260       0.4
      156      7310       0.3
      157      7360       0.6
      158      7410      -0.1
      159      7460       0.9
      160      7510       0.8
      161      7560       1.2
      162      7610       0.6
      163      7660       0.6
      164      7710       0.4
      165      7760       0.1
      166      7810       0.9
      167      7860       1.0
      168      7910       1.3
      169      7960       0.5
      170      8010       1.0
      171      8060       0.1
      172      8110       0.6
      173      8160       0.3
