  section         X    mean y
        1      -440       3.2
        2      -390       3.1
        3      -340       3.2
        4      -290       2.1
        5      -240       2.4
        6      -190       2.0
        7      -140       2.9
        8       -90       2.3
        9       -40       2.3
       10        10       2.0
       11        60       3.0
       12       110       3.4
       13       160       4.0
       14       210       3.6
       15       260       3.5
       16       310       3.4
       17       360       3.7
       18       410       4.3
       19       460       4.2
       20       510       4.3
       21       560       3.8
       22       610       4.6
       23       660       3.3
       24       710       2.9
       25       760       2.8
       26       810       3.4
       27       860       3.5
       28       910       3.2
       29       960       3.8
       30      1010       2.6
       31      1060       2.5
       32      1110       2.1
       33      1160       2.2
       34      1210       2.7
       35      1260       2.0
       36      1310       2.4
       37      1360       1.1
       38      1410       0.4
       39      1460       0.9
       40      1510       1.1
       41      1560       1.1
       42      1610       1.6
       43      1660       1.4
       44      1710       1.6
       45      1760       1.3
       46      1810       1.4
       47      1860       1.5
       48      1910       0.9
       49      1960       1.5
       50      2010       0.7
       51      2060       0.3
       52      2110       0.9
       53      2160       0.3
       54      2210       0.3
       55      2260       1.1
       56      2310       0.4
       57      2360       0.6
       58      2410       0.7
       59      2460       0.2
       60      2510       0.8
       61      2560       0.3
       62      2610       0.3
       63      2660       0.9
       64      2710       0.4
       65      2760       0.4
       66      2810       1.1
       67      2860       0.4
       68      2910       0.3
       69      2960       0.4
       70      3010       0.0
       71      3060       0.4
       72      3110       0.2
       73      3160       0.1
       74      3210       0.3
       75      3260       0.5
       76      3310       0.9
       77      3360       0.8
       78      3410       0.4
       79      3460       0.4
       80      3510       0.7
       81      3560       1.4
       82      3610       1.5
       83      3660       1.6
       84      3710       1.7
       85      3760       1.5
       86      3810       1.5
       87      3860       1.5
       88      3910       0.8
       89      3960       1.1
       90      4010       0.7
       91      4060       0.1
       92      4110       1.0
       93      4160       0.1
       94      4210      -0.3
       95      4260       1.1
       96      4310       0.6
       97      4360       0.8
       98      4410       0.4
       99      4460      -0.4
      100      4510       0.3
      101      4560      -0.5
      102      4610      -1.1
      103      4660       0.5
      104      4710      -0.1
      105      4760      -0.1
      106      4810       0.6
      107      4860      -0.3
      108      4910       0.1
      109      4960       0.2
      110      5010      -0.7
      111      5060      -0.4
      112      5110      -0.9
      113      5160      -0.5
      114      5210       0.4
      115      5260       0.6
      116      5310       0.4
      117      5360      -0.3
      118      5410      -0.4
      119      5460      -0.7
      120      5510      -0.7
      121      5560      -0.2
      122      5610      -0.3
      123      5660      -0.2
      124      5710      -0.3
      125      5760      -0.7
      126      5810      -0.5
      127      5860      -0.4
      128      5910      -1.0
      129      5960      -0.3
      130      6010      -0.6
      131      6060      -1.1
      132      6110      -0.1
      133      6160      -0.6
      134      6210      -0.8
      135      6260      -0.2
      136      6310      -1.1
      137      6360       0.8
      138      6410       1.2
      139      6460       0.6
      140      6510      -0.1
      141      6560      -0.9
      142      6610      -1.0
      143      6660      -0.5
      144      6710      -0.8
      145      6760      -0.4
      146      6810      -0.2
      147      6860      -0.3
      148      6910      -0.3
      149      6960      -0.6
      150      7010      -1.2
      151      7060      -1.3
      152      7110      -1.5
      153      7160      -1.7
      154      7210      -1.7
      155      7260      -1.2
      156      7310      -0.5
      157      7360      -0.4
      158      7410      -0.1
      159      7460      -0.2
      160      7510      -0.2
      161      7560      -0.2
      162      7610      -0.5
      163      7660      -0.1
      164      7710       0.1
      165      7760      -0.4
      166      7810      -0.4
      167      7860      -1.1
      168      7910      -1.5
      169      7960      -1.5
      170      8010      -2.0
      171      8060      -1.1
      172      8110      -1.2
      173      8160      -1.3
      174      8210      -0.7
      175      8260      -1.7
      176      8310      -1.1
      177      8360      -1.0
      178      8410      -0.9
      179      8460       0.2
      180      8510      -0.2
      181      8560      -0.5
      182      8610       0.3
      183      8660      -0.5
      184      8710      -1.2
      185      8760      -0.4
      186      8810      -1.3
      187      8860      -0.6
      188      8910      -0.9
      189      8960      -1.1
      190      9010      -0.3
      191      9060      -0.9
      192      9110      -1.0
      193      9160      -0.4
      194      9210      -1.2
      195      9260      -1.0
      196      9310      -0.5
      197      9360      -1.2
      198      9410       0.1
      199      9460      -0.6
      200      9510      -0.2
      201      9560       0.6
      202      9610       0.6
      203      9660       1.8
      204      9710       1.6
      205      9760       1.5
      206      9810       1.7
      207      9860       0.9
      208      9910       1.3
      209      9960       1.5
      210     10010       1.6
      211     10060       1.5
      212     10110       1.6
      213     10160       2.4
      214     10210       2.5
      215     10260       2.7
      216     10310       2.7
      217     10360       3.0
      218     10410       1.9
      219     10460       1.8
      220     10510       1.6
      221     10560       0.7
      222     10610       1.7
      223     10660       1.3
      224     10710       1.0
      225     10760       1.5
      226     10810       0.5
      227     10860       0.4
      228     10910       0.0
      229     10960      -0.3
      230     11010       1.1
      231     11060       0.5
      232     11110       0.8
      233     11160       0.3
      234     11210       0.3
      235     11260       0.2
      236     11310       0.0
      237     11360      -0.5
      238     11410      -0.7
      239     11460      -0.9
      240     11510      -1.4
      241     11560      -0.5
      242     11610      -0.9
      243     11660      -0.5
      244     11710      -1.7
      245     11760      -3.0
      246     11810      -2.4
      247     11860      -4.0
      248     11910      -2.5
      249     11960      -2.4
      250     12010      -2.6
      251     12060      -2.4
      252     12110      -2.6
      253     12160      -3.5
      254     12210      -3.2
      255     12260      -4.1
      256     12310      -3.8
      257     12360      -3.2
      258     12410      -3.8
      259     12460      -3.6
      260     12510      -5.1
      261     12560      -4.2
      262     12610      -4.9
      263     12660      -5.0
      264     12710      -4.7
      265     12760      -4.9
      266     12810      -5.5
      267     12860      -5.1
      268     12910      -5.2
      269     12960      -6.0
      270     13010      -4.7
      271     13060      -5.2
      272     13110      -4.3
      273     13160      -4.7
      274     13210      -4.7
      275     13260      -5.0
      276     13310      -5.1
      277     13360      -5.6
      278     13410      -5.0
