  section         X    mean y
        1      -440       1.9
        2      -390       1.9
        3      -340       1.3
        4      -290       0.9
        5      -240       1.0
        6      -190       0.4
        7      -140       0.4
        8       -90       1.0
        9       -40       1.0
       10        10       1.9
       11        60       1.4
       12       110       1.9
       13       160       1.3
       14       210       2.2
       15       260       1.7
       16       310       1.6
       17       360       1.4
       18       410       1.8
       19       460       2.2
       20       510       1.6
       21       560       1.9
       22       610       1.8
       23       660       2.3
       24       710       2.3
       25       760       2.7
       26       810       2.0
       27       860       2.2
       28       910       1.7
       29       960       1.9
       30      1010       1.3
       31      1060       1.5
       32      1110       1.3
       33      1160       1.8
       34      1210       1.4
       35      1260       2.1
       36      1310       2.0
       37      1360       2.5
       38      1410       1.8
       39      1460       2.0
       40      1510       1.4
       41      1560       1.9
       42      1610       1.6
       43      1660       1.6
       44      1710       0.6
       45      1760       1.2
       46      1810       1.0
       47      1860       1.5
       48      1910       1.6
       49      1960       2.1
       50      2010       1.5
       51      2060       2.2
       52      2110       1.4
       53      2160       2.0
       54      2210       1.4
       55      2260       0.6
       56      2310       1.4
       57      2360       2.0
       58      2410       1.6
       59      2460       1.9
       60      2510       1.7
       61      2560       2.2
       62      2610       1.3
       63      2660       0.7
       64      2710       0.3
       65      2760      -0.1
       66      2810      -0.3
       67      2860      -0.7
       68      2910       0.2
       69      2960       0.2
       70      3010       0.8
       71      3060       0.4
       72      3110       1.0
       73      3160       1.6
       74      3210       1.3
       75      3260       2.0
       76      3310       1.7
       77      3360       2.2
       78      3410       1.9
       79      3460       1.7
       80      3510       2.1
       81      3560       1.7
       82      3610       1.6
       83      3660       1.8
       84      3710       0.8
       85      3760       0.2
       86      3810      -0.9
       87      3860      -1.9
       88      3910      -1.1
       89      3960      -0.8
       90      4010      -0.6
       91      4060       0.2
       92      4110       0.1
       93      4160       0.4
       94      4210       0.4
       95      4260      -0.1
       96      4310       0.2
       97      4360       0.7
       98      4410       1.2
       99      4460       1.5
      100      4510       1.1
      101      4560       0.3
      102      4610       1.3
      103      4660       1.3
      104      4710       0.4
      105      4760       0.2
      106      4810      -0.1
      107      4860      -0.7
      108      4910       0.0
      109      4960      -0.3
      110      5010      -1.0
      111      5060       0.1
      112      5110       0.3
      113      5160      -0.7
      114      5210       0.0
      115      5260       0.2
      116      5310       0.4
      117      5360       0.2
      118      5410      -0.3
      119      5460      -0.9
      120      5510      -0.3
      121      5560      -0.2
      122      5610      -0.3
      123      5660       1.4
      124      5710       1.2
      125      5760       0.2
      126      5810       1.2
      127      5860       1.2
      128      5910      -0.4
      129      5960      -0.3
      130      6010      -0.4
      131      6060      -0.6
      132      6110       0.2
      133      6160       1.0
      134      6210      -0.3
      135      6260       0.5
      136      6310       0.9
      137      6360       0.5
      138      6410       0.6
      139      6460       0.3
      140      6510      -0.4
      141      6560      -0.3
      142      6610      -0.4
      143      6660      -0.6
      144      6710      -0.2
      145      6760       0.0
      146      6810      -0.5
      147      6860       0.2
      148      6910      -0.4
      149      6960      -1.5
      150      7010      -0.8
      151      7060      -1.8
      152      7110      -1.6
      153      7160      -0.7
      154      7210      -1.2
      155      7260      -0.7
      156      7310      -0.5
      157      7360      -0.7
      158      7410       0.2
      159      7460       0.3
      160      7510       0.9
      161      7560       2.1
      162      7610       1.6
      163      7660       1.6
      164      7710       1.9
      165      7760       1.9
      166      7810       1.7
      167      7860       1.5
      168      7910       1.3
      169      7960       1.5
      170      8010       1.0
      171      8060       0.4
      172      8110       0.4
      173      8160       0.9
      174      8210       0.0
      175      8260       1.0
      176      8310       0.6
      177      8360       0.4
      178      8410       0.4
      179      8460       0.4
      180      8510       0.3
      181      8560       0.6
      182      8610       0.7
      183      8660       0.0
      184      8710       0.8
      185      8760      -0.4
      186      8810       0.3
      187      8860      -0.3
      188      8910      -1.2
      189      8960      -0.7
      190      9010      -1.5
      191      9060      -1.7
      192      9110      -1.4
      193      9160      -1.6
      194      9210      -1.5
      195      9260      -0.6
      196      9310      -1.2
      197      9360      -0.1
      198      9410      -0.8
      199      9460      -1.4
      200      9510      -2.0
      201      9560      -1.0
      202      9610      -1.6
      203      9660      -0.1
      204      9710      -1.0
      205      9760      -0.8
      206      9810      -1.1
      207      9860      -1.4
      208      9910      -1.2
      209      9960      -0.5
      210     10010      -1.2
      211     10060      -0.5
      212     10110      -1.3
      213     10160      -1.3
      214     10210      -2.1
      215     10260      -1.9
      216     10310      -1.7
      217     10360      -0.1
      218     10410      -0.8
      219     10460      -0.2
      220     10510      -0.6
      221     10560      -0.5
      222     10610      -0.6
      223     10660      -0.4
      224     10710      -1.2
      225     10760      -0.5
      226     10810      -2.4
      227     10860      -2.7
      228     10910      -2.1
      229     10960      -1.7
      230     11010       0.1
      231     11060      -0.2
      232     11110      -0.7
      233     11160      -0.7
      234     11210      -0.1
      235     11260      -0.8
      236     11310      -0.7
      237     11360      -1.4
      238     11410      -1.1
      239     11460      -1.7
      240     11510      -2.8
      241     11560      -1.1
      242     11610      -0.7
      243     11660      -0.7
      244     11710      -0.8
      245     11760      -0.7
      246     11810      -1.0
      247     11860      -0.1
      248     11910      -1.1
      249     11960      -1.0
      250     12010      -1.6
      251     12060      -2.4
      252     12110      -1.9
      253     12160      -3.0
      254     12210      -2.4
      255     12260      -3.0
      256     12310      -3.2
      257     12360      -3.2
      258     12410      -4.5
      259     12460      -2.6
      260     12510      -2.4
      261     12560      -2.4
      262     12610      -2.7
      263     12660      -2.9
      264     12710      -3.3
      265     12760      -3.2
      266     12810      -2.8
      267     12860      -3.1
      268     12910      -2.3
      269     12960      -3.4
      270     13010      -2.7
      271     13060      -1.8
      272     13110      -3.0
      273     13160      -2.1
      274     13210      -2.7
      275     13260      -2.7
      276     13310      -2.3
      277     13360      -3.3
      278     13410      -2.1
