DoD_combination, Active pixels, Total volume [mm^3], Deposition volume [mm^3], Scour volume [mm^3], Active area [mm^2], Active width mean [%]
DoD_1-0_filt_ult_gis.txt, 33762.000, 1521.400, 27248.900, -25727.500, 11370.000, 0.340, 
DoD_2-0_filt_ult_gis.txt, 33770.000, 749.300, 44229.400, -43480.100, 15034.000, 0.449, 
DoD_2-1_filt_ult_gis.txt, 33767.000, -308.700, 30030.700, -30339.400, 12588.000, 0.376, 
DoD_3-0_filt_ult_gis.txt, 33768.000, 982.200, 49303.800, -48321.600, 17192.000, 0.514, 
DoD_3-1_filt_ult_gis.txt, 33759.000, -425.700, 40594.300, -41020.000, 15706.000, 0.469, 
DoD_3-2_filt_ult_gis.txt, 33774.000, 756.000, 27474.200, -26718.200, 11575.000, 0.346, 
DoD_4-0_filt_ult_gis.txt, 33764.000, -613.700, 48919.500, -49533.200, 17915.000, 0.535, 
DoD_4-1_filt_ult_gis.txt, 33761.000, -1454.200, 41869.800, -43324.000, 16715.000, 0.499, 
DoD_4-2_filt_ult_gis.txt, 33773.000, 250.400, 40646.000, -40395.600, 15552.000, 0.465, 
DoD_4-3_filt_ult_gis.txt, 33768.000, 634.600, 30848.600, -30214.000, 12238.000, 0.366, 
DoD_5-0_filt_ult_gis.txt, 33768.000, -1718.500, 53545.600, -55264.100, 19350.000, 0.578, 
DoD_5-1_filt_ult_gis.txt, 33762.000, -3087.200, 45454.700, -48541.900, 18459.000, 0.551, 
DoD_5-2_filt_ult_gis.txt, 33773.000, -1415.700, 44231.700, -45647.400, 17586.000, 0.525, 
DoD_5-3_filt_ult_gis.txt, 33773.000, -980.300, 44879.900, -45860.200, 16577.000, 0.495, 
DoD_5-4_filt_ult_gis.txt, 33768.000, -1104.200, 32492.400, -33596.600, 13129.000, 0.392, 
DoD_6-0_filt_ult_gis.txt, 33770.000, -358.500, 58950.000, -59308.500, 20845.000, 0.623, 
DoD_6-1_filt_ult_gis.txt, 33767.000, -1210.200, 49978.900, -51189.100, 19345.000, 0.578, 
DoD_6-2_filt_ult_gis.txt, 33779.000, 665.700, 45630.700, -44965.000, 18483.000, 0.552, 
DoD_6-3_filt_ult_gis.txt, 33772.000, 207.100, 48595.700, -48388.600, 17830.000, 0.533, 
DoD_6-4_filt_ult_gis.txt, 33772.000, 484.100, 45411.000, -44926.900, 16449.000, 0.491, 
DoD_6-5_filt_ult_gis.txt, 33774.000, 2480.800, 29121.000, -26640.200, 12738.000, 0.380, 
DoD_7-0_filt_ult_gis.txt, 33752.000, -26.500, 61144.200, -61170.700, 21235.000, 0.634, 
DoD_7-1_filt_ult_gis.txt, 33749.000, -1003.300, 53285.400, -54288.700, 19888.000, 0.594, 
DoD_7-2_filt_ult_gis.txt, 33764.000, -39.300, 49950.300, -49989.600, 19291.000, 0.576, 
DoD_7-3_filt_ult_gis.txt, 33756.000, 166.200, 54564.900, -54398.700, 18948.000, 0.566, 
DoD_7-4_filt_ult_gis.txt, 33756.000, 503.300, 48937.000, -48433.700, 17696.000, 0.529, 
DoD_7-5_filt_ult_gis.txt, 33756.000, 1989.200, 36114.100, -34124.900, 15593.000, 0.466, 
DoD_7-6_filt_ult_gis.txt, 33764.000, 2.200, 25780.400, -25778.200, 12417.000, 0.371, 
DoD_8-0_filt_ult_gis.txt, 33768.000, -477.600, 64224.400, -64702.000, 22373.000, 0.668, 
DoD_8-1_filt_ult_gis.txt, 33761.000, -921.800, 56424.300, -57346.100, 21102.000, 0.630, 
DoD_8-2_filt_ult_gis.txt, 33779.000, 228.900, 52793.400, -52564.500, 19912.000, 0.595, 
DoD_8-3_filt_ult_gis.txt, 33770.000, -548.500, 57562.100, -58110.600, 19885.000, 0.594, 
DoD_8-4_filt_ult_gis.txt, 33771.000, 612.000, 53860.600, -53248.600, 19239.000, 0.575, 
DoD_8-5_filt_ult_gis.txt, 33769.000, 2217.400, 41022.000, -38804.600, 16324.000, 0.488, 
DoD_8-6_filt_ult_gis.txt, 33777.000, -44.800, 32185.500, -32230.300, 14857.000, 0.444, 
DoD_8-7_filt_ult_gis.txt, 33760.000, -873.900, 23190.400, -24064.300, 11472.000, 0.343, 
DoD_9-0_filt_ult_gis.txt, 33714.000, -5456.100, 63404.700, -68860.800, 22721.000, 0.679, 
DoD_9-1_filt_ult_gis.txt, 33711.000, -6783.700, 56777.000, -63560.700, 22200.000, 0.663, 
DoD_9-2_filt_ult_gis.txt, 33717.000, -5315.800, 54693.100, -60008.900, 21274.000, 0.635, 
DoD_9-3_filt_ult_gis.txt, 33710.000, -5551.100, 58094.900, -63646.000, 21231.000, 0.634, 
DoD_9-4_filt_ult_gis.txt, 33718.000, -4406.400, 55043.200, -59449.600, 20235.000, 0.604, 
DoD_9-5_filt_ult_gis.txt, 33713.000, -2768.600, 44336.800, -47105.400, 18134.000, 0.542, 
DoD_9-6_filt_ult_gis.txt, 33717.000, -4083.300, 38355.700, -42439.000, 17317.000, 0.517, 
DoD_9-7_filt_ult_gis.txt, 33708.000, -4763.400, 28045.200, -32808.600, 13807.000, 0.412, 
DoD_9-8_filt_ult_gis.txt, 33713.000, -3283.700, 21402.000, -24685.700, 11356.000, 0.339, 
