# tot_vol, sum_vol, dep_vol, sco_vol, morph_act_area, morph_act_area_dep, morph_act_area_sco, act_width_mean, act_width_mean_dep, act_width_mean_sco, act_thickness, act_thickness_dep, act_thickness_sco, bri
1.739500000000000455e+03 6.274489999999999418e+04 3.224219999999999709e+04 -3.050269999999999345e+04 1.609900000000000000e+04 8.386000000000000000e+03 7.713000000000000000e+03 5.791007194244604506e+01 3.016546762589928221e+01 2.774460431654676285e+01 7.799477907172371438e+00 3.844765084664917509e+00 3.954712822507453929e+00 3.390301908500431782e+00
-4.788000000000001819e+02 6.186299999999999272e+04 3.069210000000000218e+04 -3.117090000000000509e+04 1.620900000000000000e+04 8.101000000000000000e+03 8.108000000000000000e+03 5.830575539568345533e+01 2.914028776978417312e+01 2.916546762589928221e+01 7.633142669322741547e+00 3.788680409825947670e+00 3.844462259496793877e+00 3.490562873318379999e+00
1.215000000000000000e+03 5.189899999999999272e+04 2.655700000000000000e+04 -2.534200000000000000e+04 1.596200000000000000e+04 8.268000000000000000e+03 7.694000000000000000e+03 5.741726618705035889e+01 2.974100719424460593e+01 2.767625899280575652e+01 6.505757632691876680e+00 3.212022254475084715e+00 3.293735378216792409e+00 2.737530772832747150e+00
2.219299999999999727e+03 5.495090000000000146e+04 2.858510000000000218e+04 -2.636579999999999927e+04 1.498100000000000000e+04 7.619000000000000000e+03 7.362000000000000000e+03 5.388848920863309644e+01 2.740647482014388459e+01 2.648201438848920830e+01 7.333154417178432638e+00 3.751817823861399503e+00 3.581336593317033135e+00 3.014942394376858292e+00
4.756999999999995907e+02 4.917009999999999854e+04 2.482289999999999782e+04 -2.434720000000000073e+04 1.381500000000000000e+04 6.785000000000000000e+03 7.030000000000000000e+03 4.969424460431654467e+01 2.440647482014388459e+01 2.528776978417266363e+01 7.121825275611103123e+00 3.658496683861458987e+00 3.463328591749644580e+00 2.805953011140858155e+00
9.297000000000008413e+02 5.042650000000000000e+04 2.567809999999999854e+04 -2.474840000000000146e+04 1.506400000000000000e+04 7.706000000000000000e+03 7.358000000000000000e+03 5.418705035971223083e+01 2.771942446043165376e+01 2.646762589928057707e+01 6.695689979257416269e+00 3.332221645471061144e+00 3.363468333786355124e+00 2.743920817772262488e+00
-1.175000000000000000e+02 4.330730000000000291e+04 2.159489999999999782e+04 -2.171240000000000146e+04 1.326000000000000000e+04 6.770000000000000000e+03 6.490000000000000000e+03 4.769784172661870514e+01 2.435251798561150949e+01 2.334532374100719565e+01 6.535309384054095005e+00 3.189793205317577041e+00 3.345516178736517965e+00 2.542970540509180033e+00
-2.369400000000000091e+03 3.823540000000000146e+04 1.793300000000000000e+04 -2.030240000000000146e+04 1.308300000000000000e+04 6.390000000000000000e+03 6.693000000000000000e+03 4.706115107913669249e+01 2.298561151079136522e+01 2.407553956834532372e+01 5.839794431713043465e+00 2.806416275430359875e+00 3.033378156282683591e+00 2.136528422783519510e+00
5.405999999999999091e+02 3.266480000000000291e+04 1.660270000000000073e+04 -1.606210000000000036e+04 1.131800000000000000e+04 5.693000000000000000e+03 5.625000000000000000e+03 4.071223021582733992e+01 2.047841726618705138e+01 2.023381294964028854e+01 5.771820295489588304e+00 2.916335851045143368e+00 2.855484444444444492e+00 2.079177580525663593e+00
1.065500000000000000e+03 4.684529999999999563e+04 2.395540000000000146e+04 -2.288990000000000146e+04 1.425000000000000000e+04 7.486000000000000000e+03 6.764000000000000000e+03 5.125899280575539763e+01 2.692805755395683320e+01 2.433093525179856087e+01 6.584104185490819106e+00 3.200026716537537119e+00 3.384077468953282430e+00 2.613572147335473161e+00
1.174299999999999500e+03 4.722989999999999418e+04 2.420209999999999854e+04 -2.302779999999999563e+04 1.458500000000000000e+04 7.417000000000000000e+03 7.168000000000000000e+03 5.246402877697841660e+01 2.667985611510791344e+01 2.578417266187050316e+01 6.475641545454216441e+00 3.263057840097074003e+00 3.212583705357142438e+00 2.597496714679756735e+00
-8.848999999999999773e+02 3.807869999999999709e+04 1.859690000000000146e+04 -1.948180000000000291e+04 1.178100000000000000e+04 5.542000000000000000e+03 6.239000000000000000e+03 4.237769784172662213e+01 1.993525179856115059e+01 2.244244604316546798e+01 6.478213483952615981e+00 3.355629736557199649e+00 3.122583747395416331e+00 2.292142200967495658e+00
