# tot_vol, sum_vol, dep_vol, sco_vol, morph_act_area, morph_act_area_dep, morph_act_area_sco, act_width_mean, act_width_mean_dep, act_width_mean_sco, act_thickness, act_thickness_dep, act_thickness_sco, bri
1.446299999999999727e+03 6.116089999999999418e+04 3.130359999999999854e+04 -2.985729999999999927e+04 1.514700000000000000e+04 7.830000000000000000e+03 7.317000000000000000e+03 5.448561151079136522e+01 2.816546762589928221e+01 2.632014388489208656e+01 8.078443963749982970e+00 3.997905491698594993e+00 4.080538472051387089e+00 3.373371746470910537e+00
-5.646999999999993634e+02 6.033069999999999709e+04 2.988300000000000000e+04 -3.044769999999999709e+04 1.521500000000000000e+04 7.566000000000000000e+03 7.649000000000000000e+03 5.473021582733812807e+01 2.721582733812949684e+01 2.751438848920863478e+01 7.930254985050369854e+00 3.949643140364790028e+00 3.980611844685579381e+00 3.475531339702235378e+00
9.236999999999995907e+02 5.057510000000000582e+04 2.574940000000000146e+04 -2.482569999999999709e+04 1.501700000000000000e+04 7.716000000000000000e+03 7.301000000000000000e+03 5.401798561151078815e+01 2.775539568345323715e+01 2.626258992805755454e+01 6.737458623058019569e+00 3.337143597719025578e+00 3.400315025338994435e+00 2.722561265948517217e+00
2.133000000000000000e+03 5.364720000000000437e+04 2.789010000000000218e+04 -2.575710000000000218e+04 1.419400000000000000e+04 7.189000000000000000e+03 7.005000000000000000e+03 5.105755395683453202e+01 2.585971223021582688e+01 2.519784172661870514e+01 7.556511408251305184e+00 3.879552093476144492e+00 3.676959314775160692e+00 2.998605809516550647e+00
4.920999999999997385e+02 4.796410000000000582e+04 2.422809999999999854e+04 -2.373599999999999636e+04 1.312000000000000000e+04 6.449000000000000000e+03 6.671000000000000000e+03 4.719424460431654467e+01 2.319784172661870514e+01 2.399640287769784308e+01 7.314964278491114413e+00 3.756877035199255310e+00 3.558087243291859547e+00 2.789960980943995139e+00
7.738999999999998636e+02 4.921810000000000582e+04 2.499600000000000000e+04 -2.422209999999999854e+04 1.428100000000000000e+04 7.282000000000000000e+03 6.999000000000000000e+03 5.137050359712230119e+01 2.619424460431654822e+01 2.517625899280575652e+01 6.893367868027130640e+00 3.432573468827245122e+00 3.460794399199885518e+00 2.728978699681812170e+00
-1.561000000000001364e+02 4.229850000000000000e+04 2.107120000000000073e+04 -2.122729999999999927e+04 1.261100000000000000e+04 6.449000000000000000e+03 6.162000000000000000e+03 4.536330935251798735e+01 2.319784172661870514e+01 2.216546762589928221e+01 6.712231075380400647e+00 3.267359280508606023e+00 3.444871794871794624e+00 2.529582854867425734e+00
-2.364000000000000000e+03 3.734580000000000291e+04 1.749089999999999782e+04 -1.985490000000000146e+04 1.238300000000000000e+04 6.049000000000000000e+03 6.334000000000000000e+03 4.454316546762589724e+01 2.175899280575539407e+01 2.278417266187050316e+01 6.026190037961217882e+00 2.891535791039840930e+00 3.134654246921376952e+00 2.124473407677505588e+00
4.743999999999999773e+02 3.216580000000000291e+04 1.632009999999999854e+04 -1.584570000000000073e+04 1.087500000000000000e+04 5.447000000000000000e+03 5.428000000000000000e+03 3.911870503597122450e+01 1.959352517985611541e+01 1.952517985611510909e+01 5.915415052047742428e+00 2.996163025518634004e+00 2.919252026529108424e+00 2.072086324748369623e+00
1.088299999999999955e+03 4.574609999999999854e+04 2.341719999999999709e+04 -2.232889999999999782e+04 1.352200000000000000e+04 7.116000000000000000e+03 6.406000000000000000e+03 4.864028776978417312e+01 2.559712230215827233e+01 2.304316546762590079e+01 6.776404191405014821e+00 3.290781337830241515e+00 3.485622853574773305e+00 2.598784947727422079e+00
