# tot_vol, sum_vol, dep_vol, sco_vol, morph_act_area, morph_act_area_dep, morph_act_area_sco, act_width_mean, act_width_mean_dep, act_width_mean_sco, act_thickness, act_thickness_dep, act_thickness_sco, bri
1.359800000000000637e+03 7.501140000000000873e+04 3.818560000000000582e+04 -3.682580000000000291e+04 3.287100000000000000e+04 1.670200000000000000e+04 1.616900000000000000e+04 1.182410071942446024e+02 6.007913669064748063e+01 5.816187050359712174e+01 4.563844883863835022e+00 2.286289067177583956e+00 2.277555816686251511e+00 3.447700379072606403e+00
-9.380000000000002274e+02 7.445559999999999127e+04 3.675880000000000291e+04 -3.769680000000000291e+04 3.279800000000000000e+04 1.620300000000000000e+04 1.659500000000000000e+04 1.179784172661870514e+02 5.828417266187050672e+01 5.969424460431654467e+01 4.540217385414567985e+00 2.268641609578473162e+00 2.271575775836095268e+00 3.552599348355332420e+00
6.495999999999997954e+02 6.455140000000000873e+04 3.260050000000000000e+04 -3.195089999999999782e+04 3.280800000000000000e+04 1.653500000000000000e+04 1.627300000000000000e+04 1.180143884892086277e+02 5.947841726618705138e+01 5.853597122302158340e+01 3.935035906750652401e+00 1.971605684910795242e+00 1.963430221839857381e+00 2.815815985242485997e+00
2.136600000000000364e+03 6.866880000000000291e+04 3.540269999999999709e+04 -3.326609999999999854e+04 3.285300000000000000e+04 1.647900000000000000e+04 1.637400000000000000e+04 1.181762589928057565e+02 5.927697841726618577e+01 5.889928057553957075e+01 4.179994075540494514e+00 2.148352448570908457e+00 2.031641626969586056e+00 3.092119993857660454e+00
1.515999999999999375e+02 6.423679999999999563e+04 3.219420000000000073e+04 -3.204259999999999854e+04 3.283500000000000000e+04 1.623400000000000000e+04 1.660100000000000000e+04 1.181115107913669107e+02 5.839568345323741028e+01 5.971582733812949328e+01 3.913294996552772353e+00 1.983134162868054773e+00 1.930160833684717803e+00 2.908718078450037492e+00
9.878999999999997499e+02 6.413090000000000146e+04 3.255940000000000146e+04 -3.157150000000000000e+04 3.284500000000000000e+04 1.668500000000000000e+04 1.616000000000000000e+04 1.181474820143884870e+02 6.001798561151078815e+01 5.812949640287769881e+01 3.905099371508172545e+00 1.951417440815103488e+00 1.953681930693069280e+00 2.833429107609424680e+00
-5.640000000000003411e+01 5.847700000000000000e+04 2.921029999999999927e+04 -2.926670000000000073e+04 3.281600000000000000e+04 1.656300000000000000e+04 1.625300000000000000e+04 1.180431654676258972e+02 5.957913669064748063e+01 5.846402877697841660e+01 3.564282770599572547e+00 1.763587514339189699e+00 1.800695256260382848e+00 2.647860921789226829e+00
-2.934500000000000000e+03 5.390409999999999854e+04 2.548479999999999927e+04 -2.841930000000000291e+04 3.276800000000000000e+04 1.600000000000000000e+04 1.676800000000000000e+04 1.178705035971223083e+02 5.755395683453237154e+01 6.031654676258992964e+01 3.287653291984732995e+00 1.592799999999999994e+00 1.694853291984733001e+00 2.267396199247203814e+00
8.193999999999999773e+02 5.029019999999999709e+04 2.555479999999999927e+04 -2.473539999999999782e+04 3.272200000000000000e+04 1.644700000000000000e+04 1.627500000000000000e+04 1.177050359712230261e+02 5.916187050359712174e+01 5.854316546762589724e+01 3.073606890148563586e+00 1.553766644372833960e+00 1.519840245775729404e+00 2.240183124126450043e+00
2.070700000000000273e+03 6.107829999999999563e+04 3.157450000000000000e+04 -2.950379999999999927e+04 3.287300000000000000e+04 1.727300000000000000e+04 1.560000000000000000e+04 1.182482014388489233e+02 6.213309352517985928e+01 5.611510791366906403e+01 3.719237736529666272e+00 1.827968505760435347e+00 1.891269230769230703e+00 2.705163036932942688e+00
1.324800000000000637e+03 6.127719999999999709e+04 3.130100000000000000e+04 -2.997619999999999709e+04 3.287800000000000000e+04 1.665900000000000000e+04 1.621900000000000000e+04 1.182661870503597186e+02 5.992446043165467273e+01 5.834172661870503873e+01 3.727139361595698475e+00 1.878924305180383003e+00 1.848215056415315249e+00 2.691745191215076272e+00
