# tot_vol, sum_vol, dep_vol, sco_vol, morph_act_area, morph_act_area_dep, morph_act_area_sco, act_width_mean, act_width_mean_dep, act_width_mean_sco, act_thickness, act_thickness_dep, act_thickness_sco, bri
1.769600000000000591e+03 6.031679999999999563e+04 3.104319999999999709e+04 -2.927360000000000218e+04 1.487800000000000000e+04 7.774000000000000000e+03 7.104000000000000000e+03 5.351798561151078815e+01 2.796402877697841660e+01 2.555395683453237510e+01 8.113928850383699043e+00 3.993208129662978667e+00 4.120720720720720820e+00 3.363023899698111219e+00
-3.997000000000005002e+02 5.913709999999999854e+04 2.936870000000000073e+04 -2.976840000000000146e+04 1.483600000000000000e+04 7.430000000000000000e+03 7.406000000000000000e+03 5.336690647482014072e+01 2.672661870503597115e+01 2.664028776978417312e+01 7.972216412504647742e+00 3.952718707940780618e+00 4.019497704563867124e+00 3.462696808315460562e+00
1.261700000000000500e+03 4.895789999999999418e+04 2.510980000000000291e+04 -2.384810000000000218e+04 1.446300000000000000e+04 7.537000000000000000e+03 6.926000000000000000e+03 5.202517985611510909e+01 2.711151079136690711e+01 2.491366906474820198e+01 6.774809476828357546e+00 3.331537747114236669e+00 3.443271729714120877e+00 2.700742108398066499e+00
2.316599999999999909e+03 5.233539999999999418e+04 2.732600000000000000e+04 -2.500940000000000146e+04 1.367000000000000000e+04 6.986000000000000000e+03 6.684000000000000000e+03 4.917266187050359605e+01 2.512949640287769881e+01 2.404316546762590079e+01 7.653218988202960205e+00 3.911537360435155986e+00 3.741681627767803775e+00 2.984887783419189144e+00
5.394999999999998863e+02 4.695869999999999709e+04 2.374910000000000218e+04 -2.320960000000000218e+04 1.268000000000000000e+04 6.222000000000000000e+03 6.458000000000000000e+03 4.561151079136690356e+01 2.238129496402877550e+01 2.323021582733812807e+01 7.410885972003756983e+00 3.816955962712954342e+00 3.593930009290802641e+00 2.779649561047712769e+00
9.466999999999994770e+02 4.759909999999999854e+04 2.427289999999999782e+04 -2.332619999999999709e+04 1.363100000000000000e+04 6.996000000000000000e+03 6.635000000000000000e+03 4.903237410071942293e+01 2.516546762589928221e+01 2.386690647482014427e+01 6.985168975877268593e+00 3.469539736992566681e+00 3.515629238884701913e+00 2.708897714993400818e+00
3.799999999999783995e+00 4.078819999999999709e+04 2.039599999999999636e+04 -2.039220000000000073e+04 1.193100000000000000e+04 6.140000000000000000e+03 5.791000000000000000e+03 4.291726618705035889e+01 2.208633093525179802e+01 2.083093525179856087e+01 6.843184836405136195e+00 3.321824104234527120e+00 3.521360732170609520e+00 2.511112259572911842e+00
-2.387099999999999909e+03 3.527650000000000000e+04 1.644470000000000073e+04 -1.883179999999999927e+04 1.159000000000000000e+04 5.648000000000000000e+03 5.942000000000000000e+03 4.169064748201439130e+01 2.031654676258992964e+01 2.137410071942446166e+01 6.080866631688952140e+00 2.911597025495750835e+00 3.169269606193200861e+00 2.085730891529883557e+00
5.169000000000003183e+02 2.883129999999999927e+04 1.467410000000000036e+04 -1.415720000000000073e+04 9.413000000000000000e+03 4.711000000000000000e+03 4.702000000000000000e+03 3.385971223021582688e+01 1.694604316546762490e+01 1.691366906474820198e+01 6.125747824421715393e+00 3.114858841010401225e+00 3.010888983411314612e+00 2.006739848926671677e+00
9.076000000000000227e+02 4.390919999999999709e+04 2.240840000000000509e+04 -2.150079999999999927e+04 1.274800000000000000e+04 6.709000000000000000e+03 6.039000000000000000e+03 4.585611510791366641e+01 2.413309352517985573e+01 2.172302158273381423e+01 6.900375235239341265e+00 3.340050678193472233e+00 3.560324557045868588e+00 2.574478879836839873e+00
1.253999999999999773e+03 4.463859999999999854e+04 2.294629999999999927e+04 -2.169230000000000291e+04 1.327600000000000000e+04 6.784000000000000000e+03 6.492000000000000000e+03 4.775539568345323715e+01 2.440287769784172767e+01 2.335251798561150949e+01 6.723803907058324647e+00 3.382414504716980908e+00 3.341389402341343740e+00 2.561531670860907273e+00
-9.091999999999999318e+02 3.602719999999999709e+04 1.755900000000000000e+04 -1.846819999999999709e+04 1.068700000000000000e+04 4.992000000000000000e+03 5.695000000000000000e+03 3.844244604316546798e+01 1.795683453237409921e+01 2.048561151079136522e+01 6.760307603667183862e+00 3.517427884615384581e+00 3.242879719051799281e+00 2.263677702688162263e+00
2.581499999999999545e+03 4.232250000000000000e+04 2.245200000000000364e+04 -1.987050000000000000e+04 1.301100000000000000e+04 6.832000000000000000e+03 6.179000000000000000e+03 4.680215827338129486e+01 2.457553956834532372e+01 2.222661870503597115e+01 6.502111385811199185e+00 3.286299765807962903e+00 3.215811620003236726e+00 2.503043486437813492e+00
-4.066000000000001364e+02 4.178280000000000291e+04 2.068809999999999854e+04 -2.109470000000000073e+04 1.250000000000000000e+04 5.937000000000000000e+03 6.563000000000000000e+03 4.496402877697841660e+01 2.135611510791366996e+01 2.360791366906474664e+01 6.698790605230176887e+00 3.484605019370051959e+00 3.214185585860124927e+00 2.540568261842486297e+00
-5.901000000000002501e+02 4.029969999999999709e+04 1.985480000000000291e+04 -2.044490000000000146e+04 1.251100000000000000e+04 6.253000000000000000e+03 6.258000000000000000e+03 4.500359712230216047e+01 2.249280575539568261e+01 2.251079136690647431e+01 6.442246120072656623e+00 3.175243882936191309e+00 3.267002237136465759e+00 2.360970523414121391e+00
