# tot_vol, sum_vol, dep_vol, sco_vol, morph_act_area, morph_act_area_dep, morph_act_area_sco, act_width_mean, act_width_mean_dep, act_width_mean_sco, act_thickness, act_thickness_dep, act_thickness_sco, bri
3.125200000000000728e+03 5.342300000000000000e+04 2.827409999999999854e+04 -2.514890000000000146e+04 1.200100000000000000e+04 6.637000000000000000e+03 5.364000000000000000e+03 4.316906474820143558e+01 2.387410071942446166e+01 1.929496402877697747e+01 8.948532426231855297e+00 4.260072321832153008e+00 4.688460104399702288e+00 3.266236914010876013e+00
7.072000000000007276e+02 5.205639999999999418e+04 2.638179999999999563e+04 -2.567460000000000218e+04 1.184200000000000000e+04 6.263000000000000000e+03 5.579000000000000000e+03 4.259712230215827589e+01 2.252877697841726601e+01 2.006834532374100633e+01 8.814333889399634359e+00 4.212326361168768685e+00 4.602007528230866562e+00 3.370400360229996117e+00
2.244800000000000182e+03 4.061920000000000437e+04 2.143200000000000000e+04 -1.918720000000000073e+04 1.097600000000000000e+04 6.068000000000000000e+03 4.908000000000000000e+03 3.948201438848921185e+01 2.182733812949640395e+01 1.765467625899280435e+01 7.441343448523364046e+00 3.531970995385629752e+00 3.909372453137734293e+00 2.556983890052995534e+00
2.625199999999999818e+03 4.550639999999999418e+04 2.406579999999999927e+04 -2.144060000000000218e+04 1.080100000000000000e+04 5.682000000000000000e+03 5.119000000000000000e+03 3.885251798561151304e+01 2.043884892086331106e+01 1.841366906474820198e+01 8.423880507009554819e+00 4.235445265751495825e+00 4.188435241258058994e+00 2.882628369229702336e+00
1.123799999999999727e+03 4.116940000000000146e+04 2.114660000000000218e+04 -2.002279999999999927e+04 1.014800000000000000e+04 5.134000000000000000e+03 5.014000000000000000e+03 3.650359712230216047e+01 1.846762589928057707e+01 1.803597122302158340e+01 8.112311146242799254e+00 4.118932606155045306e+00 3.993378540087753947e+00 2.691671087806883467e+00
1.063000000000000455e+03 3.905119999999999709e+04 2.005709999999999854e+04 -1.899409999999999854e+04 1.003300000000000000e+04 5.306000000000000000e+03 4.727000000000000000e+03 3.608992805755395494e+01 1.908633093525179802e+01 1.700359712230215692e+01 7.798293668048536631e+00 3.780079155672822822e+00 4.018214512375713809e+00 2.565951414092201954e+00
-1.833999999999995794e+02 3.335959999999999854e+04 1.658809999999999854e+04 -1.677150000000000000e+04 8.773000000000000000e+03 4.619000000000000000e+03 4.154000000000000000e+03 3.155755395683453202e+01 1.661510791366906403e+01 1.494244604316546798e+01 7.628708966533428892e+00 3.591275167785234590e+00 4.037433798748194747e+00 2.380828474193070754e+00
-1.543799999999999955e+03 2.653499999999999636e+04 1.249559999999999854e+04 -1.403939999999999964e+04 7.898000000000000000e+03 4.048000000000000000e+03 3.850000000000000000e+03 2.841007194244604150e+01 1.456115107913669071e+01 1.384892086330935257e+01 6.733455110107283481e+00 3.086857707509881088e+00 3.646597402597402393e+00 1.894959003643838180e+00
1.376699999999999818e+03 1.602089999999999964e+04 8.698799999999999272e+03 -7.322100000000000364e+03 4.083000000000000000e+03 2.195000000000000000e+03 1.888000000000000000e+03 1.468705035971223083e+01 7.895683453237410276e+00 6.791366906474820553e+00 7.841237765916373448e+00 3.963006833712983568e+00 3.878230932203389880e+00 1.688832989785838734e+00
1.039000000000000000e+03 3.593880000000000291e+04 1.848889999999999782e+04 -1.744990000000000146e+04 9.387000000000000000e+03 5.103000000000000000e+03 4.284000000000000000e+03 3.376618705035971146e+01 1.835611510791366996e+01 1.541007194244604328e+01 7.696415891459464476e+00 3.623143249069174399e+00 4.073272642390289633e+00 2.435690373562302558e+00
