# tot_vol, sum_vol, dep_vol, sco_vol, morph_act_area, morph_act_area_dep, morph_act_area_sco, act_width_mean, act_width_mean_dep, act_width_mean_sco, act_thickness, act_thickness_dep, act_thickness_sco, bri
1.355100000000000364e+03 8.519790000000000873e+04 4.327650000000000000e+04 -4.192140000000000146e+04 3.351300000000000000e+04 1.697700000000000000e+04 1.653600000000000000e+04 1.205503597122302182e+02 6.106834532374100633e+01 5.948201438848921185e+01 5.084284938822293043e+00 2.549125287153207076e+00 2.535159651669085523e+00 3.736436592120481404e+00
-1.190799999999999272e+03 8.536100000000000000e+04 4.208510000000000582e+04 -4.327589999999999418e+04 3.347200000000000000e+04 1.671900000000000000e+04 1.675300000000000000e+04 1.204028776978417312e+02 6.014028776978417312e+01 6.026258992805755099e+01 5.100375148780278423e+00 2.517201985764699224e+00 2.583173163015578755e+00 3.868297443366218502e+00
8.570000000000001137e+02 7.542620000000001164e+04 3.814160000000000582e+04 -3.728459999999999854e+04 3.350500000000000000e+04 1.682400000000000000e+04 1.668100000000000000e+04 1.205215827338129486e+02 6.051798561151078815e+01 6.000359712230216047e+01 4.502248394483454597e+00 2.267094626723728190e+00 2.235153767759726406e+00 3.147637008869568209e+00
2.590599999999999454e+03 7.992320000000001164e+04 4.125690000000000146e+04 -3.866629999999999563e+04 3.353900000000000000e+04 1.689100000000000000e+04 1.664800000000000000e+04 1.206438848920863336e+02 6.075899280575539763e+01 5.988489208633093597e+01 4.765116734780606933e+00 2.442537445977147836e+00 2.322579288803459541e+00 3.401364353905410365e+00
2.378000000000002672e+02 7.541919999999999709e+04 3.782850000000000728e+04 -3.759070000000000437e+04 3.353000000000000000e+04 1.656800000000000000e+04 1.696200000000000000e+04 1.206115107913669107e+02 5.959712230215827589e+01 6.101438848920863478e+01 4.499398144123221144e+00 2.283226702076292192e+00 2.216171442046928508e+00 3.225543743393689766e+00
9.568000000000001819e+02 7.504179999999998836e+04 3.799930000000000291e+04 -3.704250000000000000e+04 3.346900000000000000e+04 1.704300000000000000e+04 1.642600000000000000e+04 1.203920863309352569e+02 6.130575539568345533e+01 5.908633093525180158e+01 4.484727174892331192e+00 2.229613330986329078e+00 2.255113843906002558e+00 3.163914762777139345e+00
-1.759000000000000909e+02 6.939830000000000291e+04 3.461119999999999709e+04 -3.478709999999999854e+04 3.352800000000000000e+04 1.690000000000000000e+04 1.662800000000000000e+04 1.206043165467625897e+02 6.079136690647482055e+01 5.981294964028776917e+01 4.140079624729372298e+00 2.048000000000000043e+00 2.092079624729372256e+00 2.988631729083619515e+00
-3.029699999999999818e+03 6.515009999999999854e+04 3.106020000000000437e+04 -3.408990000000000146e+04 3.347600000000000000e+04 1.645800000000000000e+04 1.701800000000000000e+04 1.204172661870503589e+02 5.920143884892086561e+01 6.121582733812949328e+01 3.890407482596433653e+00 1.887240247903755330e+00 2.003167234692678544e+00 2.653445268666164480e+00
7.413999999999999773e+02 6.283959999999999854e+04 3.179050000000000000e+04 -3.104909999999999854e+04 3.341600000000000000e+04 1.687200000000000000e+04 1.654400000000000000e+04 1.202014388489208585e+02 6.069064748201439130e+01 5.951079136690647431e+01 3.760975399136793129e+00 1.884216453295400662e+00 1.876758945841392467e+00 2.675117436883609034e+00
2.152199999999999818e+03 7.205459999999999127e+04 3.710339999999999418e+04 -3.495119999999999709e+04 3.349400000000000000e+04 1.737100000000000000e+04 1.612300000000000000e+04 1.204820143884892047e+02 6.248561151079136522e+01 5.799640287769783953e+01 4.303724360673253813e+00 2.135939209026538332e+00 2.167785151646715480e+00 3.039496333698103570e+00
