DoD_combination, Active pixels, Total volume [mm^3], Deposition volume [mm^3], Scour volume [mm^3], Active area [mm^2], Active width mean [%]
DoD_1-0_filt_ult_gis.txt, 33603.000, 3125.200, 28274.100, -25148.900, 12001.000, 0.360, 
DoD_2-0_filt_ult_gis.txt, 33538.000, 2465.000, 40702.400, -38237.400, 15413.000, 0.462, 
DoD_2-1_filt_ult_gis.txt, 33526.000, 707.200, 26381.800, -25674.600, 11842.000, 0.355, 
DoD_3-0_filt_ult_gis.txt, 33604.000, 4521.000, 46862.400, -42341.400, 16816.000, 0.504, 
DoD_3-1_filt_ult_gis.txt, 33587.000, 2417.500, 36402.700, -33985.200, 14483.000, 0.434, 
DoD_3-2_filt_ult_gis.txt, 33529.000, 2244.800, 21432.000, -19187.200, 10976.000, 0.329, 
DoD_4-0_filt_ult_gis.txt, 33614.000, 6059.000, 53141.500, -47082.500, 18031.000, 0.540, 
DoD_4-1_filt_ult_gis.txt, 33601.000, 5099.200, 47213.800, -42114.600, 17036.000, 0.511, 
DoD_4-2_filt_ult_gis.txt, 33544.000, 5599.900, 35806.000, -30206.100, 14178.000, 0.425, 
DoD_4-3_filt_ult_gis.txt, 33610.000, 2625.200, 24065.800, -21440.600, 10801.000, 0.324, 
DoD_5-0_filt_ult_gis.txt, 33599.000, 5790.500, 59351.000, -53560.500, 19720.000, 0.591, 
DoD_5-1_filt_ult_gis.txt, 33584.000, 3855.800, 53867.300, -50011.500, 18724.000, 0.561, 
DoD_5-2_filt_ult_gis.txt, 33531.000, 5281.400, 46102.500, -40821.100, 16635.000, 0.499, 
DoD_5-3_filt_ult_gis.txt, 33592.000, 3428.600, 37564.500, -34135.900, 13943.000, 0.418, 
DoD_5-4_filt_ult_gis.txt, 33605.000, 1123.800, 21146.600, -20022.800, 10148.000, 0.304, 
DoD_6-0_filt_ult_gis.txt, 33611.000, 6089.000, 64493.800, -58404.800, 20921.000, 0.627, 
DoD_6-1_filt_ult_gis.txt, 33597.000, 4765.900, 59263.500, -54497.600, 19710.000, 0.591, 
DoD_6-2_filt_ult_gis.txt, 33542.000, 5584.300, 53903.900, -48319.600, 18386.000, 0.551, 
DoD_6-3_filt_ult_gis.txt, 33605.000, 3818.900, 47647.700, -43828.800, 16817.000, 0.504, 
DoD_6-4_filt_ult_gis.txt, 33621.000, 2050.100, 34580.400, -32530.300, 13913.000, 0.417, 
DoD_6-5_filt_ult_gis.txt, 33602.000, 1063.000, 20057.100, -18994.100, 10033.000, 0.301, 
DoD_7-0_filt_ult_gis.txt, 33607.000, 6255.800, 67617.500, -61361.700, 21371.000, 0.641, 
DoD_7-1_filt_ult_gis.txt, 33591.000, 4648.900, 62146.500, -57497.600, 20759.000, 0.622, 
DoD_7-2_filt_ult_gis.txt, 33546.000, 4694.300, 57450.600, -52756.300, 19229.000, 0.576, 
DoD_7-3_filt_ult_gis.txt, 33603.000, 3979.900, 52688.400, -48708.500, 18213.000, 0.546, 
DoD_7-4_filt_ult_gis.txt, 33616.000, 1800.500, 41094.000, -39293.500, 15429.000, 0.463, 
DoD_7-5_filt_ult_gis.txt, 33601.000, 1352.200, 30346.800, -28994.600, 12953.000, 0.388, 
DoD_7-6_filt_ult_gis.txt, 33616.000, -183.400, 16588.100, -16771.500, 8773.000, 0.263, 
DoD_8-0_filt_ult_gis.txt, 33552.000, 3501.300, 67225.000, -63723.700, 21944.000, 0.658, 
DoD_8-1_filt_ult_gis.txt, 33535.000, 770.100, 60929.000, -60158.900, 21447.000, 0.643, 
DoD_8-2_filt_ult_gis.txt, 33496.000, 2545.600, 57937.800, -55392.200, 20383.000, 0.611, 
DoD_8-3_filt_ult_gis.txt, 33547.000, 1736.700, 53632.300, -51895.600, 19019.000, 0.570, 
DoD_8-4_filt_ult_gis.txt, 33558.000, -137.800, 44156.300, -44294.100, 17068.000, 0.512, 
DoD_8-5_filt_ult_gis.txt, 33545.000, -789.900, 35615.200, -36405.100, 15100.000, 0.453, 
DoD_8-6_filt_ult_gis.txt, 33549.000, -1648.000, 23249.000, -24897.000, 11532.000, 0.346, 
DoD_8-7_filt_ult_gis.txt, 33553.000, -1543.800, 12495.600, -14039.400, 7898.000, 0.237, 
DoD_9-0_filt_ult_gis.txt, 33612.000, 3983.000, 66959.700, -62976.700, 22063.000, 0.661, 
DoD_9-1_filt_ult_gis.txt, 33594.000, 2584.500, 61733.300, -59148.800, 22006.000, 0.660, 
DoD_9-2_filt_ult_gis.txt, 33544.000, 3763.400, 58302.700, -54539.300, 20503.000, 0.615, 
DoD_9-3_filt_ult_gis.txt, 33602.000, 2926.400, 54187.000, -51260.600, 19413.000, 0.582, 
DoD_9-4_filt_ult_gis.txt, 33617.000, 407.600, 44429.200, -44021.600, 17326.000, 0.519, 
DoD_9-5_filt_ult_gis.txt, 33597.000, -136.600, 37121.100, -37257.700, 15698.000, 0.471, 
DoD_9-6_filt_ult_gis.txt, 33617.000, -1111.000, 25793.200, -26904.200, 12521.000, 0.375, 
DoD_9-7_filt_ult_gis.txt, 33618.000, -1319.700, 15014.700, -16334.400, 8497.000, 0.255, 
DoD_9-8_filt_ult_gis.txt, 33561.000, 1376.700, 8698.800, -7322.100, 4083.000, 0.122, 
DoD_10-0_filt_ult_gis.txt, 33617.000, 6128.500, 70566.900, -64438.400, 22569.000, 0.677, 
DoD_10-1_filt_ult_gis.txt, 33599.000, 4522.700, 64798.200, -60275.500, 21873.000, 0.656, 
DoD_10-2_filt_ult_gis.txt, 33550.000, 6137.600, 61405.000, -55267.400, 21229.000, 0.636, 
DoD_10-3_filt_ult_gis.txt, 33615.000, 4124.800, 55725.400, -51600.600, 19619.000, 0.588, 
DoD_10-4_filt_ult_gis.txt, 33626.000, 2390.200, 47858.200, -45468.000, 17946.000, 0.538, 
DoD_10-5_filt_ult_gis.txt, 33605.000, 1075.500, 41061.200, -39985.700, 16367.000, 0.491, 
DoD_10-6_filt_ult_gis.txt, 33628.000, 247.600, 32108.800, -31861.200, 14360.000, 0.430, 
DoD_10-7_filt_ult_gis.txt, 33628.000, 1068.600, 23980.100, -22911.500, 12256.000, 0.367, 
DoD_10-8_filt_ult_gis.txt, 33565.000, 2701.000, 17354.800, -14653.800, 9258.000, 0.278, 
DoD_10-9_filt_ult_gis.txt, 33654.000, 1039.000, 18488.900, -17449.900, 9387.000, 0.281, 
DoD_11-0_filt_ult_gis.txt, 33616.000, 7378.800, 73839.800, -66461.000, 22951.000, 0.688, 
DoD_11-1_filt_ult_gis.txt, 33600.000, 5957.700, 66897.900, -60940.200, 22298.000, 0.668, 
DoD_11-2_filt_ult_gis.txt, 33545.000, 7215.300, 65156.500, -57941.200, 21465.000, 0.643, 
DoD_11-3_filt_ult_gis.txt, 33612.000, 5823.600, 60920.500, -55096.900, 20457.000, 0.613, 
DoD_11-4_filt_ult_gis.txt, 33626.000, 3144.800, 52641.500, -49496.700, 19037.000, 0.571, 
DoD_11-5_filt_ult_gis.txt, 33609.000, 2676.300, 44710.700, -42034.400, 16813.000, 0.504, 
DoD_11-6_filt_ult_gis.txt, 33627.000, 1603.400, 36917.100, -35313.700, 15259.000, 0.457, 
DoD_11-7_filt_ult_gis.txt, 33625.000, 1408.900, 29217.300, -27808.400, 13804.000, 0.414, 
DoD_11-8_filt_ult_gis.txt, 33568.000, 3565.000, 27885.000, -24320.000, 12940.000, 0.388, 
DoD_11-9_filt_ult_gis.txt, 33653.000, 2596.900, 26850.900, -24254.000, 12669.000, 0.380, 
DoD_12-0_filt_ult_gis.txt, 33609.000, 6496.900, 75030.200, -68533.300, 23796.000, 0.713, 
DoD_12-1_filt_ult_gis.txt, 33591.000, 4486.500, 67515.800, -63029.300, 22715.000, 0.681, 
DoD_12-2_filt_ult_gis.txt, 33543.000, 6342.000, 65946.500, -59604.500, 21927.000, 0.657, 
DoD_12-3_filt_ult_gis.txt, 33607.000, 4951.700, 62181.300, -57229.600, 21320.000, 0.639, 
DoD_12-4_filt_ult_gis.txt, 33620.000, 2602.100, 54429.500, -51827.400, 19819.000, 0.594, 
DoD_12-5_filt_ult_gis.txt, 33597.000, 2031.400, 47664.500, -45633.100, 18231.000, 0.546, 
DoD_12-6_filt_ult_gis.txt, 33622.000, 899.000, 41262.900, -40363.900, 17129.000, 0.513, 
DoD_12-7_filt_ult_gis.txt, 33619.000, 839.800, 35906.700, -35066.900, 15984.000, 0.479, 
DoD_12-8_filt_ult_gis.txt, 33569.000, 2977.700, 33808.100, -30830.400, 14927.000, 0.447, 
DoD_12-9_filt_ult_gis.txt, 33648.000, 2340.100, 34174.000, -31833.900, 15387.000, 0.461, 
DoD_13-0_filt_ult_gis.txt, 33609.000, 9036.300, 79864.500, -70828.200, 24101.000, 0.722, 
DoD_13-1_filt_ult_gis.txt, 33588.000, 8112.000, 72870.200, -64758.200, 23598.000, 0.707, 
DoD_13-2_filt_ult_gis.txt, 33543.000, 9163.900, 72383.800, -63219.900, 23044.000, 0.691, 
DoD_13-3_filt_ult_gis.txt, 33604.000, 8309.600, 69365.100, -61055.500, 22478.000, 0.674, 
DoD_13-4_filt_ult_gis.txt, 33617.000, 6119.500, 61475.700, -55356.200, 20988.000, 0.629, 
DoD_13-5_filt_ult_gis.txt, 33600.000, 5107.800, 55093.600, -49985.800, 19747.000, 0.592, 
DoD_13-6_filt_ult_gis.txt, 33615.000, 4345.100, 48006.500, -43661.400, 17912.000, 0.537, 
DoD_13-7_filt_ult_gis.txt, 33618.000, 3893.200, 43727.000, -39833.800, 17145.000, 0.514, 
DoD_13-8_filt_ult_gis.txt, 33568.000, 6271.100, 41997.600, -35726.500, 16679.000, 0.500, 
DoD_13-9_filt_ult_gis.txt, 33648.000, 5247.900, 40039.100, -34791.200, 16658.000, 0.499, 
DoD_14-0_filt_ult_gis.txt, 33616.000, 8066.400, 82242.600, -74176.200, 24191.000, 0.725, 
DoD_14-1_filt_ult_gis.txt, 33599.000, 6491.500, 74677.600, -68186.100, 23431.000, 0.702, 
DoD_14-2_filt_ult_gis.txt, 33548.000, 7937.400, 74252.400, -66315.000, 23126.000, 0.693, 
DoD_14-3_filt_ult_gis.txt, 33618.000, 7043.800, 71332.300, -64288.500, 22208.000, 0.666, 
DoD_14-4_filt_ult_gis.txt, 33626.000, 4437.800, 64520.400, -60082.600, 21255.000, 0.637, 
DoD_14-5_filt_ult_gis.txt, 33604.000, 3454.500, 58277.800, -54823.300, 19937.000, 0.598, 
DoD_14-6_filt_ult_gis.txt, 33628.000, 3006.800, 52812.000, -49805.200, 18626.000, 0.558, 
DoD_14-7_filt_ult_gis.txt, 33624.000, 2999.400, 48638.800, -45639.400, 17864.000, 0.535, 
DoD_14-8_filt_ult_gis.txt, 33570.000, 5366.900, 46801.600, -41434.700, 17072.000, 0.512, 
DoD_14-9_filt_ult_gis.txt, 33654.000, 4611.300, 45093.200, -40481.900, 17114.000, 0.513, 
DoD_15-0_filt_ult_gis.txt, 33562.000, 7303.100, 84738.300, -77435.200, 24503.000, 0.735, 
DoD_15-1_filt_ult_gis.txt, 33538.000, 5652.600, 78024.700, -72372.100, 23479.000, 0.704, 
DoD_15-2_filt_ult_gis.txt, 33503.000, 7163.300, 77296.900, -70133.600, 23343.000, 0.700, 
DoD_15-3_filt_ult_gis.txt, 33557.000, 6410.700, 74138.800, -67728.100, 22406.000, 0.672, 
DoD_15-4_filt_ult_gis.txt, 33563.000, 3951.300, 67867.000, -63915.700, 21568.000, 0.647, 
DoD_15-5_filt_ult_gis.txt, 33551.000, 3085.100, 62985.300, -59900.200, 20973.000, 0.629, 
DoD_15-6_filt_ult_gis.txt, 33572.000, 1908.100, 57518.500, -55610.400, 19213.000, 0.576, 
DoD_15-7_filt_ult_gis.txt, 33573.000, 2006.900, 54027.900, -52021.000, 18249.000, 0.547, 
DoD_15-8_filt_ult_gis.txt, 33530.000, 4575.300, 52764.800, -48189.500, 17705.000, 0.531, 
DoD_15-9_filt_ult_gis.txt, 33591.000, 3533.600, 51082.500, -47548.900, 18055.000, 0.541, 
DoD_16-0_filt_ult_gis.txt, 33608.000, 7734.000, 86115.100, -78381.100, 25223.000, 0.756, 
DoD_16-1_filt_ult_gis.txt, 33592.000, 6705.800, 80420.500, -73714.700, 23723.000, 0.711, 
DoD_16-2_filt_ult_gis.txt, 33542.000, 7798.400, 79718.800, -71920.400, 23495.000, 0.704, 
DoD_16-3_filt_ult_gis.txt, 33602.000, 6625.200, 76318.000, -69692.800, 22614.000, 0.678, 
DoD_16-4_filt_ult_gis.txt, 33616.000, 4425.300, 70687.000, -66261.700, 22030.000, 0.660, 
DoD_16-5_filt_ult_gis.txt, 33597.000, 4226.900, 65865.200, -61638.300, 21140.000, 0.634, 
DoD_16-6_filt_ult_gis.txt, 33619.000, 2990.900, 61189.400, -58198.500, 19759.000, 0.592, 
DoD_16-7_filt_ult_gis.txt, 33619.000, 3315.700, 58269.700, -54954.000, 19112.000, 0.573, 
DoD_16-8_filt_ult_gis.txt, 33560.000, 6088.900, 57548.500, -51459.600, 18844.000, 0.565, 
DoD_16-9_filt_ult_gis.txt, 33641.000, 4580.300, 55070.600, -50490.300, 18798.000, 0.563, 
DoD_11-10_filt_ult_gis.txt, 33668.000, 1536.300, 19552.900, -18016.600, 10162.000, 0.305, 
DoD_12-10_filt_ult_gis.txt, 33661.000, 305.200, 26510.800, -26205.600, 13059.000, 0.391, 
DoD_12-11_filt_ult_gis.txt, 33675.000, -30.500, 15341.400, -15371.900, 8385.000, 0.251, 
DoD_13-10_filt_ult_gis.txt, 33662.000, 3207.800, 35752.200, -32544.400, 15270.000, 0.458, 
DoD_13-11_filt_ult_gis.txt, 33678.000, 1548.700, 25229.600, -23680.900, 12241.000, 0.367, 
