# tot_vol, sum_vol, dep_vol, sco_vol, morph_act_area, morph_act_area_dep, morph_act_area_sco, act_width_mean, act_width_mean_dep, act_width_mean_sco, act_thickness, act_thickness_dep, act_thickness_sco, bri
-1.072820000000000164e+03 1.088034200000000128e+05 5.386530000000001019e+04 -5.493812000000000990e+04 3.360519999999999709e+04 1.725800000000000000e+04 1.634720000000000073e+04 1.208820143884892104e+02 6.207913669064748774e+01 5.880287769784172269e+01 6.487063187398891095e+00 3.129229473745777312e+00 3.357833713653113339e+00 4.740163734707450338e+00
2.079105799520553319e+03 6.404798159317750105e+03 2.978803293270641916e+03 3.714672412689982593e+03 4.730073995192886827e+01 5.549118848970528006e+02 5.818489150973815640e+02 1.701465465896738471e-01 1.996085916895873336e+00 2.092981708983388422e+00 3.713778333952637567e-01 2.676337570042076064e-01 1.314667442057251834e-01 3.321757486296896267e-01
-9.367200000000000273e+02 1.003464400000000023e+05 4.970486000000000786e+04 -5.064157999999999447e+04 3.295380000000000291e+04 1.695820000000000073e+04 1.599560000000000036e+04 1.185388489208633018e+02 6.100071942446042783e+01 5.753812949640287400e+01 6.103239337868275882e+00 2.940373886996343167e+00 3.162865450871933160e+00 4.532290360927686557e+00
1.872037013950312257e+03 6.390213944024096236e+03 2.936000898228745882e+03 3.680975025940817432e+03 4.020646714149354750e+01 6.011786423352048132e+02 6.291065410564414151e+02 1.446275796456592821e-01 2.162513101925196413e+00 2.262973169267774143e+00 3.757733598348897974e-01 2.755996948615686559e-01 1.307117310002236243e-01 3.351085305182919249e-01
-1.185400000000000091e+03 8.924007999999998719e+04 4.402733999999999651e+04 -4.521273999999999796e+04 1.830279999999999927e+04 9.485200000000000728e+03 8.817600000000000364e+03 6.583741007194244332e+01 3.411942446043165234e+01 3.171798561151079099e+01 9.779460861814952111e+00 4.653764932557119316e+00 5.125695929257831907e+00 4.488230277065889950e+00
1.766971451948219737e+03 6.803209368055638151e+03 3.372552442646372128e+03 3.650864682564937539e+03 5.115929632041472246e+02 3.768757885563889545e+02 6.144469383111937759e+02 1.840262457568876187e+00 1.355668304159672655e+00 2.210240785292063137e+00 4.802186423094331191e-01 4.497599921756724184e-01 1.483205135546453723e-01 3.405787288739972052e-01
-9.913400000000001455e+02 9.092750000000000000e+04 4.496808000000000175e+04 -4.595941999999999825e+04 1.923400000000000000e+04 9.994000000000000000e+03 9.240000000000000000e+03 6.918705035971223083e+01 3.594964028776978182e+01 3.323741007194244901e+01 9.483823872061774907e+00 4.511405087023947935e+00 4.972418785037828748e+00 4.503322191899811422e+00
1.872291644589592124e+03 6.875443325051845932e+03 3.401575574583047455e+03 3.717241190668151830e+03 5.244433239159403684e+02 4.017770526050485955e+02 6.551735647902775099e+02 1.886486776676044252e+00 1.445241196421038987e+00 2.356739441691645176e+00 4.613627918924615434e-01 4.338492156511719600e-01 1.397756200925597825e-01 3.410485046323694092e-01
-9.545600000000000591e+02 8.920507999999998719e+04 4.412525999999999476e+04 -4.507981999999999971e+04 1.835620000000000073e+04 9.562399999999999636e+03 8.793799999999999272e+03 6.602949640287769739e+01 3.439712230215827304e+01 3.163237410071942435e+01 9.755143601238341233e+00 4.628502408154637315e+00 5.126641193083704806e+00 4.489219784333619678e+00
1.902492129392393281e+03 6.853473671183104670e+03 3.366143934296334010e+03 3.736825369963119101e+03 5.275814249952323962e+02 4.091569869866577278e+02 6.799095233926350375e+02 1.897774910054792041e+00 1.471787722973587842e+00 2.445717710045448801e+00 4.765807303186150867e-01 4.612802144007657756e-01 1.537694686192036253e-01 3.408179936369142848e-01
-9.712400000000000091e+02 8.477223999999999069e+04 4.190050000000000728e+04 -4.287173999999999069e+04 1.654959999999999854e+04 8.637600000000000364e+03 7.912000000000000000e+03 5.953093525179856726e+01 3.107050359712230403e+01 2.846043165467625613e+01 1.028880769876735179e+01 4.865967054738379538e+00 5.422840644028971369e+00 4.445581587236288712e+00
2.000262174416143580e+03 6.560861774980479822e+03 3.402341403798273859e+03 3.456450631847647401e+03 4.112656562369389235e+02 3.993667988203325763e+02 6.257731218261135382e+02 1.479372864161650591e+00 1.436571218778175396e+00 2.250982452611918205e+00 5.484269822996510335e-01 4.987210809960179181e-01 2.291105214506183319e-01 3.412464159335579783e-01
-5.718400000000002592e+02 8.490591999999999825e+04 4.216703999999999360e+04 -4.273887999999999738e+04 1.650340000000000146e+04 8.768200000000000728e+03 7.735199999999999818e+03 5.936474820143885012e+01 3.154028776978416815e+01 2.782446043165467131e+01 1.035299450375671526e+01 4.823037056006334922e+00 5.529957447750381228e+00 4.446487340600540072e+00
1.989290167471804807e+03 6.568237185546820911e+03 3.421682454349029285e+03 3.441162119052224625e+03 4.054087320223874258e+02 4.015128391471436089e+02 6.109950572631501018e+02 1.458304791447437410e+00 1.444290788299076311e+00 2.197823946989748922e+00 5.418584678979921909e-01 4.854836513756352612e-01 2.430409019555636874e-01 3.411941529030229070e-01
