DoD_combination, Active pixels, Total volume [mm^3], Deposition volume [mm^3], Scour volume [mm^3], Active area [mm^2], Active width mean [%]
DoD_1-0_filt_ult_gis.txt, 33613.000, 807.400, 38588.500, -37781.100, 15779.000, 0.473, 
DoD_2-0_filt_ult_gis.txt, 33557.000, -5.300, 54514.900, -54520.200, 19709.000, 0.591, 
DoD_2-1_filt_ult_gis.txt, 33524.000, -36.600, 48032.000, -48068.600, 16998.000, 0.510, 
DoD_3-0_filt_ult_gis.txt, 33601.000, 2007.800, 59877.900, -57870.100, 21455.000, 0.643, 
DoD_3-1_filt_ult_gis.txt, 33574.000, 1036.000, 57295.500, -56259.500, 19771.000, 0.593, 
DoD_3-2_filt_ult_gis.txt, 33523.000, 1746.700, 42499.000, -40752.300, 16433.000, 0.493, 
DoD_4-0_filt_ult_gis.txt, 33649.000, -2834.700, 68068.700, -70903.400, 23358.000, 0.700, 
DoD_4-1_filt_ult_gis.txt, 33614.000, -4241.100, 65886.300, -70127.400, 22515.000, 0.675, 
DoD_4-2_filt_ult_gis.txt, 33562.000, -2111.000, 55953.800, -58064.800, 20413.000, 0.612, 
DoD_4-3_filt_ult_gis.txt, 33612.000, -3965.600, 38883.300, -42848.900, 16688.000, 0.500, 
DoD_5-0_filt_ult_gis.txt, 33605.000, -3572.100, 72437.000, -76009.100, 23776.000, 0.713, 
DoD_5-1_filt_ult_gis.txt, 33572.000, -4790.900, 72472.700, -77263.600, 23311.000, 0.699, 
DoD_5-2_filt_ult_gis.txt, 33524.000, -2133.500, 64247.100, -66380.600, 22590.000, 0.677, 
DoD_5-3_filt_ult_gis.txt, 33576.000, -4837.900, 55132.900, -59970.800, 20261.000, 0.607, 
DoD_5-4_filt_ult_gis.txt, 33618.000, -1411.100, 42832.400, -44243.500, 16619.000, 0.498, 
