discharge [l/s],repetition,run time [min],Texner discretization, W [m], S [m/m], d50 [m]
0.5,1,84,0.5,0.6,0.01,0.001
0.7,1,47,0.5, 0.6, 0.01, 0.001
1.0,1,57,1, 0.6, 0.01, 0.001
1.0,2,25,0.5, 0.6, 0.01, 0.001
1.0,3,17,0.25, 0.6, 0.01, 0.001
1.0,4,67,1., 0.6, 0.01, 0.001
1.0,5,34,0.5, 0.6, 0.01, 0.001
1.0,6,34,0.5, 0.6, 0.01, 0.001
1.0,7,67,1., 0.6, 0.01, 0.001
1.5,1,30,1, 0.6, 0.01, 0.001
1.5,2,19,0.5, 0.60, 0.01, 0.001
1.5,3,19,0.5,0.60,0.01,0.001
2.0,1,29,1, 0.6, 0.01, 0.001
2.0,2,15,0.5, 0.6, 0.01, 0.001
0.5,9,84,0.5,0.6,0.01,0.001
0.7,9,47,0.5, 0.6, 0.01, 0.001
1.0,9,57,0.5, 0.6, 0.01, 0.001
