  section         X    mean y
        1      -440       2.2
        2      -390       3.0
        3      -340       2.2
        4      -290       2.1
        5      -240       1.1
        6      -190       2.3
        7      -140       2.2
        8       -90       1.8
        9       -40       2.2
       10        10       2.0
       11        60       2.9
       12       110       3.7
       13       160       2.8
       14       210       3.3
       15       260       3.1
       16       310       2.9
       17       360       3.5
       18       410       2.5
       19       460       2.8
       20       510       2.7
       21       560       3.1
       22       610       3.4
       23       660       3.1
       24       710       2.7
       25       760       2.9
       26       810       2.9
       27       860       3.8
       28       910       3.0
       29       960       2.4
       30      1010       2.2
       31      1060       1.3
       32      1110       1.8
       33      1160       2.4
       34      1210       2.7
       35      1260       3.3
       36      1310       2.7
       37      1360       2.3
       38      1410       1.9
       39      1460       1.4
       40      1510       2.3
       41      1560       1.7
       42      1610       2.3
       43      1660       2.0
       44      1710       1.0
       45      1760       1.8
       46      1810       1.8
       47      1860       1.6
       48      1910       1.7
       49      1960       1.1
       50      2010       1.5
       51      2060       0.6
       52      2110       0.7
       53      2160       1.0
       54      2210       0.7
       55      2260       0.6
       56      2310       0.7
       57      2360       0.6
       58      2410       1.0
       59      2460       0.8
       60      2510       1.1
       61      2560       0.7
       62      2610       0.7
       63      2660       1.3
       64      2710       0.2
       65      2760       0.6
       66      2810       0.5
       67      2860       0.7
       68      2910       0.6
       69      2960       0.2
       70      3010       0.1
       71      3060       0.7
       72      3110      -0.5
       73      3160       0.0
       74      3210      -0.6
       75      3260       0.7
       76      3310       0.4
       77      3360       0.6
       78      3410       0.2
       79      3460      -0.2
       80      3510       0.4
       81      3560       1.6
       82      3610       0.9
       83      3660       2.0
       84      3710       0.6
       85      3760       1.6
       86      3810       1.0
       87      3860       0.9
       88      3910       0.7
       89      3960       0.5
       90      4010       0.4
       91      4060       0.4
       92      4110       0.0
       93      4160       0.2
       94      4210      -0.7
       95      4260       0.4
       96      4310       1.1
       97      4360       0.4
       98      4410       0.3
       99      4460      -0.4
      100      4510      -0.3
      101      4560      -1.2
      102      4610      -0.9
      103      4660      -0.5
      104      4710      -0.7
      105      4760      -1.1
      106      4810      -0.2
      107      4860      -1.2
      108      4910      -0.3
      109      4960      -1.3
      110      5010      -0.9
      111      5060      -1.3
      112      5110      -1.6
      113      5160      -0.6
      114      5210      -0.7
      115      5260      -0.1
      116      5310      -0.4
      117      5360      -0.2
      118      5410      -0.8
      119      5460      -1.0
      120      5510      -1.4
      121      5560      -0.9
      122      5610      -1.2
      123      5660      -0.3
      124      5710      -0.8
      125      5760      -0.5
      126      5810       0.1
      127      5860      -1.0
      128      5910      -0.2
      129      5960      -1.1
      130      6010       0.1
      131      6060      -0.3
      132      6110      -0.6
      133      6160      -0.4
      134      6210      -0.9
      135      6260      -0.6
      136      6310      -1.2
      137      6360       0.3
      138      6410       0.9
      139      6460       0.8
      140      6510      -0.7
      141      6560      -0.3
      142      6610      -0.6
      143      6660      -0.5
      144      6710      -0.7
      145      6760      -0.4
      146      6810       0.3
      147      6860      -0.5
      148      6910       0.2
      149      6960      -0.9
      150      7010      -0.8
      151      7060      -1.2
      152      7110      -1.8
      153      7160      -0.9
      154      7210      -2.0
      155      7260      -1.2
      156      7310      -0.9
      157      7360      -0.1
      158      7410      -0.5
      159      7460      -1.0
      160      7510      -0.2
      161      7560      -0.7
      162      7610      -0.6
      163      7660      -0.3
      164      7710      -0.1
      165      7760       0.3
      166      7810      -0.1
      167      7860      -0.4
      168      7910      -1.1
      169      7960      -0.8
      170      8010      -0.9
      171      8060      -0.8
      172      8110      -1.5
      173      8160      -0.9
      174      8210      -0.8
      175      8260      -1.3
      176      8310      -0.6
      177      8360      -1.5
      178      8410       0.1
      179      8460       0.3
      180      8510       0.0
      181      8560       0.8
      182      8610      -0.2
      183      8660       0.2
      184      8710      -0.5
      185      8760      -1.0
      186      8810       0.2
      187      8860      -1.2
      188      8910      -0.5
      189      8960      -0.8
      190      9010      -0.8
      191      9060      -0.6
      192      9110      -1.1
      193      9160      -0.8
      194      9210      -0.7
      195      9260      -1.6
      196      9310      -0.3
      197      9360      -1.6
      198      9410      -0.6
      199      9460      -0.6
      200      9510      -0.4
      201      9560       0.3
      202      9610       0.3
      203      9660       1.8
      204      9710       1.7
      205      9760       1.8
      206      9810       2.4
      207      9860       1.0
      208      9910       1.2
      209      9960       0.1
      210     10010       0.9
      211     10060       1.9
      212     10110       0.4
      213     10160       1.4
      214     10210       1.4
      215     10260       1.0
      216     10310       2.3
      217     10360       1.3
      218     10410       1.5
      219     10460       1.5
      220     10510       1.0
      221     10560       1.3
      222     10610       1.5
      223     10660       1.3
      224     10710       1.0
      225     10760       0.8
      226     10810       0.8
      227     10860       0.2
      228     10910      -0.6
      229     10960      -0.5
      230     11010      -0.2
      231     11060       0.4
      232     11110       0.8
      233     11160       0.4
      234     11210       0.7
      235     11260       0.7
      236     11310       0.8
      237     11360       0.5
      238     11410      -0.4
      239     11460      -1.0
      240     11510      -0.3
      241     11560      -0.3
      242     11610      -0.1
      243     11660      -0.1
      244     11710      -0.4
      245     11760      -0.5
      246     11810      -1.5
      247     11860      -2.2
      248     11910      -1.2
      249     11960      -2.3
      250     12010      -1.7
      251     12060      -2.4
      252     12110      -3.3
      253     12160      -1.9
      254     12210      -3.0
      255     12260      -2.6
      256     12310      -3.1
      257     12360      -3.9
      258     12410      -3.2
      259     12460      -4.1
      260     12510      -3.7
      261     12560      -4.2
      262     12610      -4.8
      263     12660      -4.1
      264     12710      -4.0
      265     12760      -4.3
      266     12810      -4.1
      267     12860      -4.2
      268     12910      -4.2
      269     12960      -4.2
      270     13010      -4.2
      271     13060      -4.0
      272     13110      -3.8
      273     13160      -3.8
      274     13210      -4.7
      275     13260      -3.3
      276     13310      -4.2
      277     13360      -4.3
      278     13410      -4.1
