  section         X    mean y
        1      -440       1.0
        2      -390       2.1
        3      -340       1.6
        4      -290       1.1
        5      -240       1.1
        6      -190       1.2
        7      -140       1.0
        8       -90       1.9
        9       -40       0.8
       10        10       1.2
       11        60       1.6
       12       110       1.5
       13       160       2.3
       14       210       1.4
       15       260       1.9
       16       310       1.5
       17       360       1.8
       18       410       2.0
       19       460       1.7
       20       510       1.6
       21       560       1.5
       22       610       1.9
       23       660       1.6
       24       710       1.7
       25       760       1.0
       26       810       2.2
       27       860       2.6
       28       910       3.2
       29       960       3.5
       30      1010       2.7
       31      1060       3.9
       32      1110       2.9
       33      1160       3.6
       34      1210       3.3
       35      1260       2.7
       36      1310       3.0
       37      1360       2.0
       38      1410       3.1
       39      1460       2.5
       40      1510       2.7
       41      1560       2.9
       42      1610       2.5
       43      1660       4.3
       44      1710       3.8
       45      1760       3.6
       46      1810       2.6
       47      1860       1.5
       48      1910       2.0
       49      1960       0.8
       50      2010       0.5
       51      2060      -0.2
       52      2110      -0.3
       53      2160       0.5
       54      2210       0.1
       55      2260       0.3
       56      2310       0.2
       57      2360       0.0
       58      2410       0.5
       59      2460       0.3
       60      2510       0.5
       61      2560      -0.2
       62      2610      -0.3
       63      2660      -0.2
       64      2710      -0.7
       65      2760       0.0
       66      2810       0.0
       67      2860       0.3
       68      2910       0.1
       69      2960      -0.2
       70      3010       0.4
       71      3060       0.0
       72      3110       0.5
       73      3160       0.3
       74      3210       0.4
       75      3260       1.0
       76      3310       0.8
       77      3360       1.5
       78      3410       1.2
       79      3460       1.1
       80      3510       2.0
       81      3560       1.3
       82      3610       2.2
       83      3660       2.2
       84      3710       2.2
       85      3760       2.0
       86      3810       1.5
       87      3860       2.3
       88      3910       1.7
       89      3960       1.8
       90      4010       1.8
       91      4060       0.6
       92      4110       1.9
       93      4160       0.9
       94      4210       1.4
       95      4260       1.9
       96      4310       1.3
       97      4360       1.8
       98      4410      -0.3
       99      4460       1.3
      100      4510       0.8
      101      4560      -0.3
      102      4610       0.8
      103      4660       0.3
      104      4710       0.8
      105      4760      -0.1
      106      4810      -0.4
      107      4860       0.2
      108      4910      -0.7
      109      4960       0.0
      110      5010       0.0
      111      5060      -0.7
      112      5110      -0.2
      113      5160      -0.6
      114      5210      -0.2
      115      5260       0.1
      116      5310      -0.1
      117      5360      -0.2
      118      5410      -0.5
      119      5460      -1.0
      120      5510      -0.8
      121      5560      -0.9
      122      5610      -0.3
      123      5660      -0.7
      124      5710      -0.6
      125      5760      -0.9
      126      5810      -0.7
      127      5860      -0.4
      128      5910      -0.5
      129      5960      -0.5
      130      6010      -0.8
      131      6060      -1.1
      132      6110      -0.8
      133      6160      -0.6
      134      6210      -0.4
      135      6260      -0.7
      136      6310      -1.5
      137      6360      -0.1
      138      6410       0.2
      139      6460       0.1
      140      6510       0.4
      141      6560      -0.3
      142      6610      -0.2
      143      6660      -0.3
      144      6710      -1.0
      145      6760      -0.5
      146      6810      -0.6
      147      6860      -0.5
      148      6910      -0.3
      149      6960      -0.8
      150      7010      -0.8
      151      7060      -1.5
      152      7110      -1.8
      153      7160      -2.1
      154      7210      -3.1
      155      7260      -2.3
      156      7310      -2.3
      157      7360      -1.6
      158      7410      -1.4
      159      7460      -1.0
      160      7510      -0.2
      161      7560      -0.2
      162      7610       0.0
      163      7660       0.9
      164      7710       1.1
