  section         X    mean y
        1      -440       2.7
        2      -390       2.7
        3      -340       2.4
        4      -290       1.4
        5      -240       1.5
        6      -190       1.4
        7      -140       2.3
        8       -90       1.9
        9       -40       1.7
       10        10       1.9
       11        60       2.3
       12       110       2.3
       13       160       2.2
       14       210       2.7
       15       260       2.4
       16       310       2.8
       17       360       2.7
       18       410       2.6
       19       460       2.2
       20       510       2.3
       21       560       2.5
       22       610       3.3
       23       660       3.0
       24       710       3.3
       25       760       1.8
       26       810       2.4
       27       860       2.4
       28       910       3.4
       29       960       2.6
       30      1010       2.8
       31      1060       2.4
       32      1110       2.7
       33      1160       2.5
       34      1210       2.9
       35      1260       2.0
       36      1310       2.5
       37      1360       1.5
       38      1410       1.3
       39      1460       0.5
       40      1510       1.5
       41      1560       1.3
       42      1610       1.5
       43      1660       1.0
       44      1710       0.9
       45      1760       0.5
       46      1810       0.8
       47      1860      -0.8
       48      1910      -1.2
       49      1960      -1.3
       50      2010      -0.8
       51      2060      -0.2
       52      2110      -0.4
       53      2160       0.4
       54      2210       0.9
       55      2260       1.8
       56      2310       1.5
       57      2360       2.0
       58      2410       2.6
       59      2460       1.8
       60      2510       1.8
       61      2560       1.2
       62      2610       1.5
       63      2660       1.1
       64      2710       0.5
       65      2760       1.0
       66      2810       1.3
       67      2860       1.7
       68      2910       1.4
       69      2960       2.1
       70      3010       3.0
       71      3060       2.4
       72      3110       2.0
       73      3160       1.4
       74      3210       1.3
       75      3260       1.2
       76      3310       1.1
       77      3360       1.4
       78      3410       0.6
       79      3460       0.6
       80      3510       0.7
       81      3560       0.9
       82      3610       1.2
       83      3660       0.6
       84      3710       1.2
       85      3760       0.9
       86      3810       0.6
       87      3860       0.6
       88      3910       0.4
       89      3960       0.5
       90      4010       0.1
       91      4060      -0.3
       92      4110       0.7
       93      4160      -0.5
       94      4210      -1.0
       95      4260       0.0
       96      4310       0.6
       97      4360       0.4
       98      4410      -0.2
       99      4460      -0.4
      100      4510      -0.1
      101      4560      -1.2
      102      4610      -0.6
      103      4660       0.3
      104      4710      -0.6
      105      4760      -0.2
      106      4810      -0.3
      107      4860       0.3
      108      4910       0.0
      109      4960      -0.5
      110      5010       0.0
      111      5060      -0.8
      112      5110      -1.2
      113      5160      -0.4
      114      5210      -0.3
      115      5260       0.1
      116      5310       0.0
      117      5360      -0.4
      118      5410      -0.6
      119      5460      -1.5
      120      5510      -1.3
      121      5560      -0.4
      122      5610      -1.8
      123      5660      -0.8
      124      5710      -0.3
      125      5760      -0.9
      126      5810      -0.5
      127      5860      -0.6
      128      5910      -1.0
      129      5960      -0.6
      130      6010      -0.5
      131      6060      -0.4
      132      6110      -0.6
      133      6160      -0.4
      134      6210      -0.6
      135      6260      -1.0
      136      6310      -1.3
      137      6360       0.1
      138      6410      -0.1
      139      6460       0.4
      140      6510       0.8
      141      6560      -0.2
      142      6610       0.2
      143      6660       0.3
      144      6710      -0.7
      145      6760       0.4
      146      6810       0.2
      147      6860      -0.3
      148      6910       0.2
      149      6960      -1.2
      150      7010      -1.6
      151      7060      -1.2
      152      7110      -2.6
      153      7160      -2.4
      154      7210      -2.0
      155      7260      -2.4
      156      7310      -1.1
      157      7360      -1.5
      158      7410      -1.7
      159      7460      -0.8
      160      7510      -1.1
      161      7560      -0.7
      162      7610      -0.2
      163      7660      -0.9
      164      7710       0.2
      165      7760       0.1
      166      7810      -0.5
      167      7860      -0.5
      168      7910      -1.6
      169      7960      -1.3
      170      8010      -0.8
      171      8060      -1.6
      172      8110      -0.9
      173      8160      -1.0
      174      8210      -1.2
      175      8260      -0.3
      176      8310      -1.0
      177      8360      -1.2
      178      8410      -0.2
      179      8460      -0.5
      180      8510       0.3
      181      8560       0.0
      182      8610      -0.1
      183      8660       0.0
      184      8710      -1.1
      185      8760      -0.5
      186      8810      -0.3
      187      8860      -1.0
      188      8910      -0.9
      189      8960      -0.6
      190      9010      -0.7
      191      9060      -0.8
      192      9110      -0.4
      193      9160      -1.0
      194      9210      -0.3
      195      9260      -1.4
      196      9310      -0.7
      197      9360      -0.2
      198      9410      -0.8
      199      9460       0.3
      200      9510      -0.2
      201      9560       0.0
      202      9610       0.5
      203      9660       0.4
      204      9710       0.8
      205      9760       1.0
      206      9810       0.7
      207      9860       0.3
      208      9910       0.5
      209      9960       0.3
      210     10010       1.2
      211     10060       0.9
      212     10110       1.2
      213     10160       1.6
      214     10210       1.3
      215     10260       2.5
      216     10310       1.6
      217     10360       2.1
      218     10410       1.6
      219     10460       1.6
      220     10510       1.6
      221     10560       1.4
      222     10610       0.9
      223     10660       1.6
      224     10710       1.0
      225     10760       1.0
      226     10810       1.1
      227     10860      -0.5
      228     10910      -0.4
      229     10960      -0.9
      230     11010       0.0
      231     11060       0.2
      232     11110       0.1
      233     11160      -0.2
      234     11210       0.3
      235     11260      -0.5
      236     11310       0.6
      237     11360      -1.3
      238     11410      -1.4
      239     11460      -1.4
      240     11510      -1.4
      241     11560      -1.2
      242     11610      -0.9
      243     11660      -1.6
      244     11710      -0.9
      245     11760      -1.9
      246     11810      -2.1
      247     11860      -2.0
      248     11910      -2.7
      249     11960      -2.4
      250     12010      -2.4
      251     12060      -3.0
      252     12110      -2.5
      253     12160      -2.5
      254     12210      -1.5
      255     12260      -2.0
