  section         X    mean y
        1      -440       1.5
        2      -390       2.4
        3      -340       0.8
        4      -290       1.2
        5      -240       1.2
        6      -190       0.5
        7      -140       1.7
        8       -90       1.0
        9       -40       1.4
       10        10       1.6
       11        60       1.2
       12       110       2.5
       13       160       2.2
       14       210       1.8
       15       260       1.8
       16       310       2.0
       17       360       1.9
       18       410       2.2
       19       460       2.2
       20       510       1.1
       21       560       2.1
       22       610       2.2
       23       660       1.6
       24       710       2.9
       25       760       2.0
       26       810       2.3
       27       860       3.3
       28       910       3.2
       29       960       3.7
       30      1010       3.3
       31      1060       3.6
       32      1110       3.4
       33      1160       3.4
       34      1210       3.2
       35      1260       3.1
       36      1310       3.3
       37      1360       1.7
       38      1410       2.6
       39      1460       2.8
       40      1510       2.3
       41      1560       3.1
       42      1610       2.3
       43      1660       3.5
       44      1710       3.6
       45      1760       2.8
       46      1810       2.6
       47      1860       2.0
       48      1910       2.0
       49      1960       1.7
       50      2010       1.6
       51      2060       1.3
       52      2110       1.0
       53      2160       1.6
       54      2210       0.2
       55      2260       1.0
       56      2310       0.6
       57      2360       0.1
       58      2410       1.1
       59      2460       0.0
       60      2510       0.3
       61      2560      -0.1
       62      2610      -0.3
       63      2660       0.4
       64      2710      -0.7
       65      2760       0.1
       66      2810       0.5
       67      2860       0.5
       68      2910       0.6
       69      2960       0.3
       70      3010       0.2
       71      3060       0.2
       72      3110       0.4
       73      3160       0.1
       74      3210       0.3
       75      3260       0.4
       76      3310       1.0
       77      3360       1.2
       78      3410       0.6
       79      3460       0.9
       80      3510       1.0
       81      3560       1.3
       82      3610       2.2
       83      3660       1.5
       84      3710       1.9
       85      3760       1.7
       86      3810       1.6
       87      3860       2.3
       88      3910       1.1
       89      3960       2.1
       90      4010       1.7
       91      4060       0.9
       92      4110       1.9
       93      4160       0.9
       94      4210       1.7
       95      4260       1.5
       96      4310       1.4
       97      4360       1.6
       98      4410       0.0
       99      4460       1.0
      100      4510       0.4
      101      4560       0.0
      102      4610       0.6
      103      4660       0.2
      104      4710       0.7
      105      4760       0.0
      106      4810      -0.2
      107      4860       0.2
      108      4910      -0.7
      109      4960       0.3
      110      5010      -0.1
      111      5060      -0.3
      112      5110      -0.1
      113      5160      -0.5
      114      5210      -0.1
      115      5260      -0.2
      116      5310      -0.2
      117      5360       0.0
      118      5410      -0.7
      119      5460      -0.5
      120      5510      -1.0
      121      5560      -0.3
      122      5610       0.1
      123      5660      -0.8
      124      5710      -0.1
      125      5760      -0.6
      126      5810      -0.3
      127      5860       0.1
      128      5910      -0.9
      129      5960      -0.4
      130      6010      -1.8
      131      6060      -1.1
      132      6110      -1.0
      133      6160      -1.9
      134      6210      -1.0
      135      6260      -1.9
      136      6310      -1.0
      137      6360       0.1
      138      6410      -0.5
      139      6460       0.7
      140      6510      -0.7
      141      6560       0.0
      142      6610      -0.2
      143      6660      -1.5
      144      6710      -0.5
      145      6760      -1.1
      146      6810      -0.5
      147      6860      -0.7
      148      6910      -1.5
      149      6960      -0.5
      150      7010      -1.9
      151      7060      -1.9
      152      7110      -1.9
      153      7160      -3.2
      154      7210      -3.1
      155      7260      -3.6
      156      7310      -2.9
      157      7360      -1.7
      158      7410      -1.7
      159      7460      -0.3
      160      7510      -0.5
      161      7560      -0.7
      162      7610      -0.1
      163      7660       0.4
      164      7710       1.6
      165      7760       1.6
      166      7810       1.3
      167      7860       1.4
      168      7910       0.2
      169      7960       0.4
      170      8010       0.4
      171      8060      -0.5
      172      8110      -0.1
      173      8160      -0.7
      174      8210       0.0
      175      8260       0.0
      176      8310      -0.7
      177      8360       0.7
      178      8410       0.1
      179      8460       1.1
      180      8510       0.7
      181      8560      -0.1
      182      8610       1.0
      183      8660       0.0
      184      8710       0.5
      185      8760       0.7
      186      8810       0.2
      187      8860       1.3
      188      8910       0.2
      189      8960       0.1
      190      9010       0.2
      191      9060      -0.7
      192      9110       0.8
      193      9160       0.2
      194      9210       0.7
      195      9260       0.6
      196      9310      -0.1
      197      9360       0.5
      198      9410      -0.8
      199      9460      -0.7
      200      9510      -0.5
      201      9560      -1.5
      202      9610      -0.1
      203      9660      -0.3
      204      9710      -0.3
      205      9760       0.6
      206      9810      -0.6
      207      9860      -0.2
      208      9910      -1.2
      209      9960      -1.2
      210     10010      -0.6
      211     10060      -0.4
      212     10110       0.4
      213     10160       0.7
      214     10210       0.9
      215     10260       1.9
      216     10310       1.3
      217     10360       2.1
      218     10410       1.7
      219     10460       1.1
      220     10510       1.7
      221     10560       0.5
      222     10610       1.3
      223     10660       1.6
      224     10710       0.7
      225     10760       1.2
      226     10810       0.1
      227     10860       0.2
      228     10910      -0.2
      229     10960      -1.1
      230     11010      -0.1
      231     11060      -0.5
      232     11110      -0.2
      233     11160      -0.1
      234     11210      -1.7
      235     11260      -0.3
      236     11310      -0.7
      237     11360      -0.6
      238     11410       0.2
      239     11460      -0.5
      240     11510       0.1
      241     11560      -1.8
      242     11610      -1.5
      243     11660      -0.5
      244     11710      -1.7
      245     11760      -1.5
      246     11810      -2.1
      247     11860      -2.1
      248     11910      -2.3
      249     11960      -3.2
      250     12010      -2.8
      251     12060      -3.2
      252     12110      -3.6
      253     12160      -3.1
      254     12210      -4.7
      255     12260      -5.0
      256     12310      -4.4
      257     12360      -3.8
      258     12410      -3.4
      259     12460      -5.2
      260     12510      -4.2
      261     12560      -4.9
      262     12610      -5.1
      263     12660      -4.0
      264     12710      -4.8
      265     12760      -3.6
      266     12810      -3.4
      267     12860      -4.4
      268     12910      -3.9
      269     12960      -4.3
      270     13010      -3.4
      271     13060      -2.8
      272     13110      -3.7
      273     13160      -2.3
      274     13210      -3.7
      275     13260      -2.5
      276     13310      -2.9
      277     13360      -5.0
      278     13410      -3.8
